"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
"ENSG00000186891",6.23381635498303,-3.43059421850045,1.15610603024484,0.000100155913907236,0.000497366481320315,"ENSG00000186891"
"ENSG00000260179",28.2652978350517,-1.36435732070123,0.581416323506799,0.00155450092384937,0.00576319170470968,"ENSG00000260179"
"ENSG00000225972",11.2683131832912,0.939899438752172,0.524627205517266,0.01466424913007,0.0392550467839816,"ENSG00000225972"
"ENSG00000198744",14.5102040447336,1.00317947736461,0.596614821635533,0.0164078544532134,0.0431604786918168,"ENSG00000198744"
"ENSG00000142611",5.17446684229304,-2.47059559096477,0.999092634366183,0.000514743344052231,0.00215600396889967,"ENSG00000142611"
"ENSG00000131584",9175.30888669557,1.15842612460988,0.421411570521052,0.000664283174997866,0.00270021890727975,"ENSG00000131584"
"ENSG00000227589",4.20695971385184,1.48368012976496,1.0084672040315,0.0132747161141831,0.0362069510295895,"ENSG00000227589"
"ENSG00000157933",2649.60027871494,-0.47095104048022,0.145660271172383,0.000827036452166362,0.00327854524376721,"ENSG00000157933"
"ENSG00000270035",7.85143749387769,5.7479204348156,1.13340020425611,3.68309385681384e-08,3.19361047047068e-07,"ENSG00000270035"
"ENSG00000169962",26.9540086822901,0.884356509033506,0.322859169999388,0.00144079596606794,0.00538218692202506,"ENSG00000169962"
"ENSG00000116285",1862.8437579226,-4.03612012217998,0.160863975742133,4.14508893154709e-140,1.03692853863427e-136,"ENSG00000116285"
"ENSG00000149527",1211.09677504513,8.17697759207476,0.640731526171968,4.78679770030771e-38,3.48773980984314e-36,"ENSG00000149527"
"ENSG00000171621",240.332510542427,-2.29395883374115,0.406529892464184,1.21821881279357e-09,1.29130333832098e-08,"ENSG00000171621"
"ENSG00000224387",16.5199379418107,5.98500351381694,1.23418385193886,1.14781590567158e-07,9.34027803533615e-07,"ENSG00000224387"
"ENSG00000227372",930.142086100655,4.51375905713898,0.305259020534677,1.43895949668711e-50,1.86190194530389e-48,"ENSG00000227372"
"ENSG00000142583",2.44501899006805,-2.10734840161092,1.24787348342566,0.00474125191116361,0.0151058842200404,"ENSG00000142583"
"ENSG00000116786",2939.6649517417,-0.511984413542297,0.13970219742569,0.000159383223324657,0.000752638820352822,"ENSG00000116786"
"ENSG00000284703",24.4376798640184,-8.56848518726327,0.86236625965152,4.35535769695799e-24,1.422671193743e-22,"ENSG00000284703"
