"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","abs_log2FoldChange","entrez","symbol"
"ENSG00000169436",1052.83770737831,25.7760661815572,2.52832402132304,3.67808117664776e-26,1.38361301806753e-24,"ENSG00000169436",25.7760661815572,169044,"COL22A1"
"ENSG00000198914",1150.04789298682,25.4378866965139,2.92480544600063,1.4363595252554e-20,3.72671362045306e-19,"ENSG00000198914",25.4378866965139,5455,"POU3F3"
"ENSG00000169255",611.760022069533,24.2359551693532,3.41810551692611,2.21377795169242e-16,4.34633095695584e-15,"ENSG00000169255",24.2359551693532,8706,"B3GALNT1"
"ENSG00000198963",408.150796394028,24.202922636965,2.84706338908325,1.25324922667772e-20,3.25725441866999e-19,"ENSG00000198963",24.202922636965,6096,"RORB"
"ENSG00000180530",429.289393004806,23.7884863665478,3.36219344088876,1.30322438403489e-16,2.60809951895623e-15,"ENSG00000180530",23.7884863665478,8204,"NRIP1"
"ENSG00000118596",412.780114695816,23.4609998211752,3.62250268886399,3.07820742074076e-15,5.5833660763273e-14,"ENSG00000118596",23.4609998211752,9194,"SLC16A7"
"ENSG00000175497",173.320333981718,22.4645976853306,3.35967704560862,2.06839233081046e-16,4.07421715082673e-15,"ENSG00000175497",22.4645976853306,57628,"DPP10"
"ENSG00000095627",168.468749626251,21.7667529548608,3.88976646833867,6.37342750507746e-14,1.03306652416264e-12,"ENSG00000095627",21.7667529548608,56165,"TDRD1"
"ENSG00000165025",167.663225157976,21.7393363503175,3.89368452570232,6.6637496272225e-14,1.07779687532108e-12,"ENSG00000165025",21.7393363503175,6850,"SYK"
"ENSG00000022355",160.528050699803,21.6689124114135,3.90365291568569,7.46781360484031e-14,1.20524890647151e-12,"ENSG00000022355",21.6689124114135,2554,"GABRA1"
"ENSG00000260230",155.104962765353,21.5890108330039,3.91477362999259,8.48981525808651e-14,1.35995605246798e-12,"ENSG00000260230",21.5890108330039,23732,"FRRS1L"
