userId	geneSymbol	geneName	entrezgene	score	gLink
C2	C2	complement component 2 (within H-2S)	12263	7.29954289838994	https://www.ncbi.nlm.nih.gov/gene/?term=12263
C3	C3	complement component 3	12266	1229.107583611	https://www.ncbi.nlm.nih.gov/gene/?term=12266
C6	C6	complement component 6	12274	11.8272045612887	https://www.ncbi.nlm.nih.gov/gene/?term=12274
C7	C7	complement component 7	109828	4545.89071373793	https://www.ncbi.nlm.nih.gov/gene/?term=109828
C9	C9	complement component 9	12279	0.551311279595854	https://www.ncbi.nlm.nih.gov/gene/?term=12279
C9orf72	C9orf72	C9orf72, member of C9orf72-SMCR8 complex	73205	785.555310959419	https://www.ncbi.nlm.nih.gov/gene/?term=73205
F10	F10	coagulation factor X	14058	243.469750696209	https://www.ncbi.nlm.nih.gov/gene/?term=14058
F11	F11	coagulation factor XI	109821	0.420768756215949	https://www.ncbi.nlm.nih.gov/gene/?term=109821
F12	F12	coagulation factor XII (Hageman factor)	58992	507.340235913605	https://www.ncbi.nlm.nih.gov/gene/?term=58992
F2	F2	coagulation factor II	14061	1.58830216111354	https://www.ncbi.nlm.nih.gov/gene/?term=14061
F3	F3	coagulation factor III	14066	162.580713689536	https://www.ncbi.nlm.nih.gov/gene/?term=14066
F5	F5	coagulation factor V	14067	0.692686871279751	https://www.ncbi.nlm.nih.gov/gene/?term=14067
F7	F7	coagulation factor VII	14068	14.3781275320609	https://www.ncbi.nlm.nih.gov/gene/?term=14068
F8	F8	coagulation factor VIII	14069	71.3844336277468	https://www.ncbi.nlm.nih.gov/gene/?term=14069
F9	F9	coagulation factor IX	14071	0	https://www.ncbi.nlm.nih.gov/gene/?term=14071
H19	H19	H19, imprinted maternally expressed transcript	14955	126.155563274873	https://www.ncbi.nlm.nih.gov/gene/?term=14955
LTO1	LTO1	ABCE maturation factor	72284	703.314652678076	https://www.ncbi.nlm.nih.gov/gene/?term=72284
