geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	http://reactome.org/PathwayBrowser/#/R-HSA-975956	0.9446588586239786	1.557746823987793	0	1.4239003274196292e-4	43	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_975956.png	32	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234	RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-2408557	Selenocysteine synthesis	http://reactome.org/PathwayBrowser/#/R-HSA-2408557	0.9453967365317707	1.5591115739401937	0	1.6612170486562342e-4	43	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_2408557.png	32	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234	RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-72689	Formation of a pool of free 40S subunits	http://reactome.org/PathwayBrowser/#/R-HSA-72689	0.9445015604342557	1.559683980971736	0	1.993460458387481e-4	43	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72689.png	35	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;6169;8666;6228	EIF3G;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	http://reactome.org/PathwayBrowser/#/R-HSA-156827	0.942160396055529	1.5557660392775505	0	2.2149560648749788e-4	46	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_156827.png	37	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;1974;25873;6206;6234;1968;6169;8666;6228	EIF2S3;EIF3G;EIF4A2;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	http://reactome.org/PathwayBrowser/#/R-HSA-72706	0.942160396055529	1.5557660392775505	0	2.2149560648749788e-4	46	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72706.png	37	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;1974;25873;6206;6234;1968;6169;8666;6228	EIF2S3;EIF3G;EIF4A2;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-927802	Nonsense-Mediated Decay (NMD)	http://reactome.org/PathwayBrowser/#/R-HSA-927802	0.9383269047474077	1.548248099968925	0	2.3001466827547856e-4	47	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_927802.png	35	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;10921;6169;6228	RNPS1;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	http://reactome.org/PathwayBrowser/#/R-HSA-975957	0.9383269047474077	1.548248099968925	0	2.3001466827547856e-4	47	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_975957.png	35	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;10921;6169;6228	RNPS1;RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-72764	Eukaryotic Translation Termination	http://reactome.org/PathwayBrowser/#/R-HSA-72764	0.9468549180703856	1.5604546957201897	0	2.4918255729843513e-4	43	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_72764.png	32	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234	RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;UBA52
R-HSA-2408522	Selenoamino acid metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-2408522	0.9363472310792847	1.5508497459522956	0	2.718355170528383e-4	54	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_2408522.png	35	6187;6175;6188;6134;6130;6222;6128;6193;6202;6201;6223;6143;6217;6142;6141;6125;6168;6189;6208;6230;9349;11224;6229;4736;6209;6155;6227;7311;6171;25873;6206;6234;6169;7296;6228	RPL10;RPL10A;RPL18;RPL18A;RPL19;RPL23;RPL27;RPL35;RPL36;RPL37A;RPL38;RPL41;RPL5;RPL6;RPL7A;RPLP0;RPS12;RPS14;RPS15;RPS16;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS28;RPS3;RPS3A;RPS5;RPS7;RPS8;TXNRD1;UBA52
R-HSA-381753	Olfactory Signaling Pathway	http://reactome.org/PathwayBrowser/#/R-HSA-381753	0.9774072421708654	1.5525416615029939	0	2.9901906875812217e-4	16	./Project_GSEA_RvsS_Pathway_Reactome_GSEA/R_HSA_381753.png	1	2782	GNB1
