geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:2000147	positive regulation of cell motility	http://amigo.geneontology.org/amigo/term/GO:2000147	490	147	73.40761055879328	2.002517162471396	0	0	81;101;102;284;301;623;652;728;857;977;1012;1081;1236;1277;1435;1601;1906;1907;1950;1991;2150;2152;2255;2277;2294;2303;2321;2335;2621;2624;2660;2771;2886;3071;3383;3488;3491;3554;3570;3655;3673;3675;3676;3678;3685;3912;3918;3958;3965;4088;4215;4233;4323;4638;4780;4851;4916;5054;5154;5155;5228;5293;5328;5530;5578;5587;5594;5606;5743;5880;6239;6352;6387;6591;6648;6662;6678;6714;6774;7040;7042;7057;7060;7114;7130;7205;7291;7424;7448;7474;7869;8482;8660;8826;8828;8829;8877;9037;9423;9448;9510;9734;9750;10344;10457;10501;10509;10630;10769;22800;22954;23328;23473;23604;25836;27286;29126;51176;54434;54437;54566;56034;56920;57142;57214;57580;57608;58191;58515;63940;64750;65125;80005;80139;80149;80781;81029;83692;84913;117581;131578;153769;284119;285966;286077;375611;390664	CDH13;SH3RF2;FGF10;VEGFC;SASH1;CAV1;MET;PLAU;FOXF1;TWIST2;THBS1;DAB2;ANXA1;COL1A1;LEF1;IL1R1;SRPX2;ITGA5;BMP4;CAVIN1;PDGFC;ITGA3;GPNMB;CCN1;PDGFA;C1QTNF8;SERPINE1;ELANE;TGFB2;CEMIP;PTGS2;JCAD;TCAF2;SEMA6B;FN1;SEMA5A;MMP14;PLK2;F2RL1;NTRK3;TRIP6;SPARC;PDGFB;ITGA4;CSF1;WNT5A;MYLK;IL6R;SLC26A5;NCKAP1L;CXCL16;ITGA2;NOTCH1;ITGA6;LRRC15;RIPOR2;FOXC2;LAMC2;ATOH8;NRP2;SOX9;TMSB4X;PRKD1;EGF;CCL26;CXCL12;TGFB1;LGALS3;ICAM1;SEMA3B;IGFBP5;SEMA5B;CCL5;EDN1;SNAI2;TNFAIP6;PDPN;NRP1;FAM83H;F3;COL18A1;SEMA7A;GRB7;ACTN4;RAC2;CGA;EDN2;WNT5B;RTN4;BDKRB1;SMAD3;GATA2;GAS6;CCR7;FLT1;DAPK2;LGALS9;DOCK5;ANGPT1;PGF;SPHK1;SOD2;C5AR1;ADAMTS1;MAP4K4;NTN1;ADAM8;GPSM3;CD151;CD274;PIK3CD;HDAC9;MSTN;IRS2;SRC;ZC3H12A;ZNF703;PREX1;RREB1;TRIM32;EPB41L4B;RRAS2;IQGAP1;THBS4;STAT3;VTN;SEMA4B;MAP2K3;ITGAV;GNAI2;LAMB1;CD99L2;SEMA3G;WNK1;NFE2L2;TWIST1;SMURF2;NIPBL;SSH1;ADAM10;VEGFD;SELENOK;PRKCA;PPP3CA;MAP3K3;CAPN7;MAPK1
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	400	128	59.92458004799451	2.1360183066361556	0	0	101;102;165;302;780;822;960;1277;1280;1286;1289;1290;1291;1292;1293;1294;1295;1297;1301;1303;1305;1490;1514;1520;1545;1605;1803;1991;2022;2191;2192;2200;2201;2294;2335;2621;2683;2934;3339;3371;3383;3491;3655;3673;3675;3676;3678;3680;3684;3685;3687;3688;3689;3691;3908;3910;3912;3914;3915;3918;4015;4017;4088;4148;4237;4323;4327;4643;4791;4851;4982;5045;5054;5154;5155;5175;5352;5654;5806;6662;6678;6692;7040;7042;7045;7057;7076;7077;7092;7101;7132;7148;7177;7412;7448;8434;8515;8728;9388;10516;10630;10653;22801;23461;23768;25890;26585;28984;30008;50509;54507;55612;55790;56999;60495;79875;80781;81621;84168;84695;84830;85301;90102;90993;151887;169611;255631;375790	FBN2;CCN2;FLRT2;LAMB3;TGFBI;COL12A1;COL8A1;FOXF1;PTX3;THBS1;VCAM1;COL1A1;DPP4;CD44;ITGA5;GREM1;HTRA1;CSGALNACT1;COL5A2;CREB3L1;TNFRSF11B;ITGA3;CCN1;LIPG;PDGFA;MMP19;SERPINE1;ELANE;CAPG;TGFB2;FAP;LAMA2;LOXL2;FBLN5;COL6A3;TLL1;FN1;COL13A1;RGCC;MMP14;TNC;SPARC;PDGFB;ITGA4;ITGAX;COL9A1;ITGAM;TPSAB1;CCDC80;OLFML2A;ITGA2;ITGA10;NOTCH1;ITGA6;COL4A4;FBN1;LOX;GSN;LAMC2;MATN3;TNFRSF1A;NR2E1;SOX9;ITGB4;TNXB;PHLDB2;COL27A1;ABI3BP;THSD4;TGFB1;ICAM1;ANTXR1;COL24A1;LAMA4;FBLN1;COL5A3;FERMT1;PDPN;COL5A1;PECAM1;CTSS;COL6A2;LOXL3;COL11A1;ABCA5;PLOD2;HPSE2;COL18A1;ANXA2;HSPG2;CYP1B1;ADTRP;DDR1;COL7A1;ADAM19;ENG;B4GALT1;SMAD3;GAS6;ADAMTS9;LAMC1;FURIN;COL2A1;ITGB2;TIMP1;COL6A1;ITGA11;SPINT2;ADAM8;ITGA9;CTSL;EFEMP2;ITGB1;NFKB2;ADAMTSL4;DAG1;MYO1E;AGRN;KAZALD1;MFAP2;SPINT1;VTN;ITGAV;TIMP2;LAMB1;ADAM10;AEBP1;RECK
GO:0001503	ossification	http://amigo.geneontology.org/amigo/term/GO:0001503	367	115	54.980802194034965	2.091639179693102	8.881784197001252e-16	2.3592239273284576e-13	43;54;182;651;652;654;656;847;860;1009;1192;1213;1277;1280;1290;1291;1301;1305;1435;1490;1591;1893;1969;2131;2132;2194;2201;2274;2737;2778;3200;3371;3398;3488;3491;3570;4057;4088;4091;4256;4323;4656;4665;4851;4958;5087;5167;5251;5364;5552;5587;5594;5617;5734;5743;5744;6238;6272;6320;6591;6657;6662;6678;7020;7040;7042;7043;7291;7474;7477;7480;8482;8519;8792;8994;9241;9365;9902;9923;10234;10272;10457;10766;22800;22801;22943;23051;23314;23376;25836;25884;25937;26585;50617;51176;55366;55589;55790;56172;56975;57045;64093;79633;81621;84059;90993;116039;117581;130497;169200;170506;202151;285313;340419;359845	FBN2;CCN2;SMOC1;ENPP1;SRGN;OSR1;TWIST2;FAM20C;RUNX2;COL1A1;LEF1;WNT7B;BMP4;WWTR1;GREM1;CSGALNACT1;COL5A2;PTGER4;CREB3L1;TFAP2A;GPNMB;CCN1;NOG;BMP3;TGFB2;IGSF10;CYP24A1;PTGS2;COL13A1;ADGRV1;MMP14;SATB2;TNC;GLI3;SPARC;PRL;CSF1;WNT5A;MYOG;CLEC11A;IL6R;ECM1;IFITM1;NOTCH1;ACHE;JAG1;BMP6;RSPO2;MGP;SOX9;HOXA3;OSR2;PRKD1;KL;LRRC17;DKK1;ATP6V0A4;LTF;TGFB1;ACP5;IGFBP5;SNAI2;SOX2;RANBP3L;CHRDL2;CDH11;COL11A1;SEMA7A;RRBP1;TNFRSF11A;SMAD6;BMP8B;SMAD3;TWSG1;EPHA2;FHL2;EXT1;FASN;COL2A1;WNT10B;RFLNB;COL6A1;FSTL3;OMD;ITGA11;CAT;TGFB3;MRC2;PTHLH;FAT4;KAZALD1;ANKH;PBX1;EXT2;TOB2;RRAS2;ID2;PHEX;LIMD1;CLIC1;LGR4;CLTC;PLXNB1;TWIST1;BMP2K;NAB2;NIPBL;UFL1;TMEM64;GNAS;SORT1;ZHX3;ZBTB40;MAPK1;DHX36
GO:0001525	angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0001525	484	140	72.50874185807336	1.9308016718043761	1.1102230246251565e-15	2.3592239273284576e-13	101;133;182;284;290;301;302;358;652;688;718;728;857;861;1012;1116;1232;1286;1295;1490;1545;1605;1893;1906;1909;1948;1950;1969;2022;2152;2191;2253;2255;2277;2303;2321;2335;2624;2626;2683;3200;3202;3213;3339;3491;3606;3678;3685;3688;3689;4017;4211;4215;4323;4327;4627;4780;4804;4851;4855;4856;5054;5154;5175;5176;5228;5290;5291;5371;5468;5578;5587;5617;5743;6050;6093;6303;6672;6678;6774;6789;6850;6899;7042;7045;7057;7058;7060;7075;7098;7101;7128;7291;7424;7474;7855;8091;8325;8434;8828;8829;8877;9037;9289;9314;9353;9394;9734;10365;10457;10769;10855;23328;23554;23670;26585;27286;28984;28996;51176;51330;54538;55273;55576;56913;56999;57608;64321;79400;80149;80781;83478;84830;90268;90993;113026;116844;126259;144455;441478	CDH13;FGF10;CCN2;VEGFC;C3;SASH1;HOXB3;CAV1;TGFBI;COL8A1;THBS1;ANXA1;THBS2;LEF1;SP100;SRPX2;KLF4;ITGA5;BMP4;CHI3L1;SYK;RUNX1;GREM1;HMGA2;CREB3L1;GPNMB;TLR3;CCN1;PDGFA;MMP19;SERPINE1;TGFB2;FAP;LOXL2;TBX1;PTGS2;JCAD;FN1;SEMA5A;RGCC;MMP14;PLK2;CCN3;SPARC;PRL;FZD8;WNT5A;ANPEP;NOX5;ECM1;SLIT2;HPSE;NOTCH1;LRG1;FGF8;COL4A4;JAG1;HOXA5;FOXC2;TIE1;NR2E1;NRP2;KLF2;HOXA3;PRKD1;EGF;PPARG;NGFR;ROBO4;TMEM100;ADM;EDN1;CCR3;NRP1;SAT1;PECAM1;NOTCH4;SOX17;CEMIP2;F3;STAB2;COL18A1;TNFAIP3;ANXA2;HSPG2;CYP1B1;ADTRP;TSPAN12;ENG;B4GALT1;GATA2;TMIGD2;EPHA2;ADAMTS9;FLT1;IL18;MYH9;ANGPT1;PGF;SPHK1;ITGB2;C5AR1;ADGRG1;ADAM8;GATA4;ITGB1;SERPINF1;DAG1;HIPK2;HDAC9;ZC3H12A;EFNB2;TNFRSF12A;KLF5;AQP1;EDNRA;PML;PLCD3;THBS4;STAT3;FZD5;ITGAV;E2F7;PIK3CB;HS6ST1;ARHGAP24;ROCK1;NFE2L2;OTULIN;TWIST1;VEGFD;RNH1;RECK;NRARP;PRKCA;C1GALT1;MAP3K3;PIK3CA;STK4;MEIS1
GO:0048568	embryonic organ development	http://amigo.geneontology.org/amigo/term/GO:0048568	422	122	63.220431950634215	1.9297558753673798	8.615330671091215e-14	1.4646062140855065e-11	133;220;652;677;860;1280;1290;1301;1482;1746;1906;1969;2019;2022;2103;2200;2201;2202;2253;2255;2294;2348;2535;2624;2626;2737;2778;3142;3200;3202;3203;3207;3212;3213;3214;3215;3216;3217;3218;3236;3398;3491;3638;3856;3975;3976;4088;4237;4323;4487;4851;5080;5087;5154;5155;5396;5594;5604;6262;6293;6495;6662;6692;6789;6862;6899;6913;6932;6935;7020;7040;7042;7043;7173;7289;7291;7403;7474;7477;7483;7849;7855;8320;8854;9021;9241;9394;9423;9620;9645;9750;10194;10370;10413;10653;10660;23314;25836;25861;26018;28996;51168;51176;51384;51804;55584;55773;56034;57545;60529;64321;80736;113026;116039;121227;130497;144455;157506;161882;203447;259236;348093	HOXB4;HOXB6;FGF10;FBN2;HOXB2;EFEMP1;HOXB3;OSR1;FOXF1;SIX1;RUNX2;LEF1;LRIG3;WNT7B;BMP4;PRRX1;COL5A2;TFAP2A;PDGFC;HOXB7;CCN1;PDGFA;NOG;WNT9A;TGFB2;ALX4;TBX1;LBX1;EN1;RYR2;NRK;MMP14;SATB2;GLI3;PDGFB;WNT5A;EOMES;CELSR1;DLX2;TBXT;MSX1;ZFP36L1;CITED2;NOTCH1;RIPOR2;NKX2-5;FGF8;FBN1;HOXA5;MICAL2;SIX4;LRIG1;HOXD10;SOX9;HOXA3;OSR2;YAP1;HOXB8;HOXB5;TPO;SLC44A4;HOXA11;PAX6;PAX8;TGFB1;ADM;TCF7;KRT8;TBX15;EDN1;TMIE;ESRRB;LHX1;LIF;WHRN;SOX17;ALDH1A3;HOXA6;COL11A1;RDH10;WNT16;ENG;ZFPM1;SMAD3;GATA2;EPHA2;CHRNA9;FZD2;SOCS3;INSIG1;COL2A1;FOLR1;SPINT2;NTN1;ALDH1A2;TGFB3;GATA4;HLX;HIPK2;MYO15A;RBPMS2;PBX1;TBC1D23;PLCD3;MFAP2;ID2;SPINT1;FZD5;E2F7;HS6ST1;CC2D2A;TWIST1;NIPBL;ZEB1;GNAS;KDM6A;TSHZ1;MAP2K1;STK4;TULP3;MAPK1;VPS52
GO:0048705	skeletal system morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048705	231	78	34.60644497771683	2.2539154209634757	5.774269951075439e-13	8.180215764023538e-11	54;302;652;654;860;1044;1277;1280;1291;1292;1293;1294;1301;1303;1305;1490;1746;2201;2734;2737;2778;3200;3202;3203;3207;3212;3213;3214;3215;3216;3217;3218;3236;3638;3975;4057;4088;4147;4148;4153;4256;4323;4487;4665;5396;6495;6662;6862;6899;6913;6935;7020;7040;7043;7289;7291;7480;7483;9241;23314;25836;26585;51715;51804;55790;56603;56914;57642;60529;64399;64651;85301;116039;130497;157506;158326;342184;359845	HOXB4;HOXB6;FBN2;CCN2;HOXB2;HOXB3;COL12A1;OSR1;SIX1;RUNX2;COL1A1;BMP4;PRRX1;GREM1;CSGALNACT1;TFAP2A;HOXB7;NOG;WNT9A;ALX4;COL6A3;TBX1;COL13A1;CYP26B1;MMP14;SATB2;GLI3;MATN2;DLX2;TBXT;MSX1;HHIP;HOXA5;BMP6;MATN3;SIX4;OTOR;MGP;HOXD10;SOX9;HOXA3;OSR2;HOXB8;HOXB5;HOXA11;COL27A1;LTF;MBL2;TGFB1;ACP5;TBX15;LHX1;COL6A2;HOXA6;COL11A1;ANXA2;RDH10;COL7A1;FMN1;SMAD3;INSIG1;COL20A1;COL2A1;WNT10B;CDX1;RFLNB;COL6A1;CSRNP1;TGFB3;FREM1;GLG1;TWIST1;NAB2;NIPBL;RAB23;ZEB1;GNAS;TULP3
GO:0031589	cell-substrate adhesion	http://amigo.geneontology.org/amigo/term/GO:0031589	332	100	49.737401439835445	2.0105594000716827	1.0587086762825493e-12	1.2855748212002386e-10	81;182;284;395;558;604;683;780;960;1012;1236;1277;1295;1305;1435;1490;1605;2192;2294;2335;2621;2633;2932;3491;3655;3673;3675;3676;3678;3685;3688;3689;3691;3912;3915;3987;4059;4088;4091;4323;4814;4851;5054;5175;5291;5328;5590;5795;5796;5829;5861;5880;6093;6239;6281;6695;6714;7007;7057;7205;7402;7412;7414;7448;8322;8394;8515;8826;8829;9358;9448;9748;10232;10516;10630;10855;10979;11093;22801;23189;23380;23603;25890;25992;26585;50509;51330;53834;55612;56999;57580;80005;81792;84034;84168;90102;151887;158326;201294;342184	CDH13;CCN2;AXL;COL8A1;PLAU;FOXF1;KANK1;THBS1;VCAM1;COL1A1;ITGBL1;CD44;ITGA5;GREM1;GBP1;ITGA3;CCN1;S100A10;SERPINE1;ADAMTS12;FBLN5;FN1;COL13A1;MMP14;TRIP6;ITGA4;CSF1;BCL6;CCDC80;UNC13D;ITGA2;HPSE;ITGA10;FGFRL1;NOTCH1;ITGA6;PTPRK;JAG1;ITGB4;PHLDB2;ABI3BP;UTRN;BCAM;SNED1;ANTXR1;FBLN1;COL5A3;FERMT1;PDPN;BST1;PRKCZ;NRP1;PECAM1;SPOCK1;ACTN4;RAC2;DDR1;FMN1;ARHGAP6;SMAD6;SMAD3;GAS6;CCR7;PTPRJ;ADAMTS9;LAMC1;MSLN;DOCK5;ANGPT1;FZD4;ITGB2;ITGA11;MAP4K4;PXN;ITGB1;DAG1;FREM1;SRC;VCL;TNFRSF12A;PREX1;RREB1;EMILIN2;IQGAP1;TECTA;SRGAP2;NINJ1;VTN;ADAMTS13;ITGAV;LAMB1;PIK3CB;SLK;ROCK1;FERMT2;RAB1A;CORO1C;LIMS1;GSK3B;PIP5K1A
GO:0045785	positive regulation of cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0045785	390	109	58.42646554679465	1.8655929120460013	1.8970047754862662e-11	1.8018598958570287e-9	101;284;288;301;566;604;857;861;912;960;1012;1236;1295;1435;1605;1803;1948;1991;2294;2303;2335;2737;2932;3071;3109;3113;3133;3142;3169;3383;3485;3491;3566;3570;3575;3594;3606;3655;3673;3675;3676;3678;3685;3707;3718;3965;3987;4088;4651;4690;4814;5062;5290;5530;5578;5590;5795;5896;6093;6239;6281;6288;6352;6387;6657;6714;6850;7040;7042;7402;7409;7412;7448;7474;8651;8728;8744;8826;8829;9265;9289;9448;9780;9840;10076;10148;10272;10370;10630;10892;11221;25890;29126;30835;54566;55612;57580;58515;64332;80005;80380;84034;84978;114548;126259;140885;151887;201294;342184	IL7R;CDH13;CAV1;IL4R;COL8A1;FOXF1;VCAM1;ANXA1;DPP4;CD44;ITGA5;SYK;RUNX1;ITGA3;CCN1;EBI3;S100A10;ELANE;TGFB2;FN1;GLI3;NLRP3;ITGA4;PDCD1LG2;CSF1;HLA-DPA1;WNT5A;BCL6;IL6R;AZU1;CCDC80;NCKAP1L;UNC13D;ITGA2;HLA-E;TNFSF9;HLA-DMB;CITED2;ITGA6;MYO10;TESPA1;FOXC2;NFKBIZ;IL12RB1;CD1D;ABI3BP;UTRN;DUSP10;CXCL12;TGFB1;ICAM1;CCL5;FERMT1;PDPN;PRKCZ;NRP1;CD209;FOXA1;SOX2;ANK3;PIEZO1;SAA1;SOCS1;SIRPA;FMN1;ADAM19;ITPKB;MALT1;SMAD3;TMIGD2;VAV1;CCR7;PTPRJ;IL18;LGALS9;DOCK5;ANGPT1;FSTL3;RAG1;ADGRG1;MAP4K4;ADAM8;IGFBP2;CD274;HLX;DAG1;SRC;EFNB2;PREX1;RREB1;JAK3;EPB41L4B;EMILIN2;IQGAP1;NINJ1;VTN;PTPRU;ITGAV;FRMD5;ROCK1;NCK1;CYTH3;LIMS1;SELENOK;GSK3B;PRKCA;PPP3CA;PAK2;PIK3CA
GO:0060348	bone development	http://amigo.geneontology.org/amigo/term/GO:0060348	206	69	30.861158724717175	2.235820132856413	1.907851654436854e-11	1.8018598958570287e-9	54;302;652;654;860;1044;1277;1280;1291;1292;1293;1294;1303;1305;2022;2200;2253;2313;2734;2737;2778;3207;3214;3638;4057;4147;4148;4153;4211;4323;4487;4665;5251;5305;5308;5358;5364;5734;6662;6678;6714;6862;7020;7040;7043;7289;7291;9060;10234;25946;26585;51715;55790;56034;56603;56975;56987;57642;79633;79648;80263;85301;116039;124976;158326;161882;202151;284266;359845	HOXB4;COL12A1;FAM20C;RUNX2;COL1A1;BMP4;GREM1;CSGALNACT1;PTGER4;TFAP2A;PDGFC;COL6A3;COL13A1;PAPSS2;CYP26B1;MMP14;GLI3;SPARC;MATN2;SIGLEC15;TBXT;MSX1;FLI1;FGF8;FBN1;BMP6;MATN3;SOX9;OSR2;PITX2;HOXA11;COL27A1;LRRC17;LTF;MBL2;TGFB1;ACP5;COL6A2;RANBP3L;ANXA2;COL7A1;ENG;SPNS2;ZFPM1;INSIG1;COL20A1;COL2A1;CDX1;RFLNB;COL6A1;TGFB3;FAT4;FREM1;SRC;TRIM45;PIP4K2A;PHEX;GLG1;BBX;PLXNB1;TWIST1;PLS3;NAB2;ZNF385A;RAB23;GNAS;TULP3;MCPH1;MEIS1
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	372	105	55.7298594446349	1.8840887281316898	2.356814743365021e-11	2.003292531860268e-9	284;367;652;654;677;728;857;858;1001;1012;1232;1295;1893;1948;1969;2152;2173;2191;2255;2277;2321;2624;2683;2810;3202;3357;3398;3488;3676;3912;3915;3987;4017;4088;4323;4804;4851;4856;5080;5155;5176;5228;5291;5468;5578;5587;5594;5604;5617;5654;5796;6239;6352;6387;6495;6591;6657;6662;6678;6774;6778;6899;7039;7040;7042;7049;7057;7060;7128;7291;7421;7424;7474;7480;7498;8828;8829;8854;9037;9241;9572;10344;10413;11221;23385;26277;28984;51384;51804;54206;54566;55366;55612;57142;57608;58189;79400;80139;84913;116039;116844;130497;135228;253260;441478	CDH13;AR;FGF10;VEGFC;CD109;CAV1;COL8A1;OSR1;THBS1;SIX1;BMP4;HTRA1;NOG;XDH;CAV2;TGFB2;FAP;LOXL2;TBX1;JCAD;SEMA5A;RGCC;TGFA;MMP14;CCN3;SPARC;PDGFB;PRL;ITGA4;WNT5A;VDR;NOX5;ECM1;ZFP36L1;NOTCH1;LRG1;TGFBR3;PTPRK;HOXA5;BMP6;ATOH8;SIX4;NRP2;SOX9;OSR2;STAT6;PRKD1;PPARG;ERRFI1;YAP1;CCL26;PAX6;NGFR;DUSP10;CXCL12;TGFB1;FABP7;IGFBP5;SFN;CCL5;FERMT1;SNAI2;WFDC1;CCR3;NRP1;SOX2;F3;TNFAIP3;WNT16;B4GALT1;RTN4;SMAD3;GATA2;EPHA2;FLT1;LAMC1;ANGPT1;PGF;WNT10B;C5AR1;ALDH1A2;HTR2B;SERPINF1;CDH3;EFNB2;ZNF703;RREB1;EPB41L4B;THBS4;STAT3;RICTOR;ID2;NR1D1;LAMB1;LGR4;PIK3CB;NCSTN;TWIST1;VEGFD;LIMS1;TINF2;NRARP;PRKCA;MAP2K1;MAPK1
