geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0031012	extracellular matrix	http://amigo.geneontology.org/amigo/term/GO:0031012	495	163	76.70774825739974	2.1249483096940724	0	0	43;165;259;301;302;308;311;333;667;977;1012;1116;1277;1280;1286;1289;1290;1291;1292;1293;1294;1295;1297;1301;1303;1305;1490;1508;1520;1605;1755;1893;1991;2152;2192;2200;2201;2202;2239;2255;2335;2734;2811;2817;3339;3371;3383;3491;3655;3908;3910;3912;3914;3915;3918;3958;3998;4015;4016;4017;4052;4053;4059;4147;4148;4153;4237;4256;4323;4327;4856;4958;4982;5054;5104;5155;5176;5265;5270;5327;5359;5654;5657;5806;6277;6281;6649;6678;7007;7040;7042;7043;7045;7049;7057;7058;7060;7076;7077;7078;7098;7148;7177;7448;7474;7980;8482;8510;8728;8840;9423;9510;10234;10417;10418;10516;10855;11093;22917;23452;23768;24144;25878;25890;26018;26585;30008;50509;54507;55214;55914;56999;57642;59277;60495;64093;64499;79875;79883;80760;80781;81029;81035;81621;81792;81794;83546;83872;84034;84467;85301;114794;121227;131578;151887;158326;169611;255631;284297;339366;349667;375790;653145	CDH13;FGF10;FBN2;CCN2;P3H2;HMCN1;FLRT2;EFEMP1;LAMB3;TGFBI;MXRA5;SMOC1;COL12A1;SOD3;COL8A1;PTX3;THBS1;ANXA1;COL1A1;THBS2;LRIG3;ELFN2;CHI3L1;GREM1;HTRA1;SERPINE2;COL5A2;CCN4;TNFRSF11B;TLR3;CCN1;MMP19;S100A10;SERPINE1;ELANE;TGFB2;LAMA2;ADAMTS12;LTBP1;LOXL2;FBLN5;COL6A3;NTN4;FN1;COL13A1;MMP14;TNC;CCN3;SPON2;SPARC;PDGFB;MATN2;WNT5A;COL9A1;ADAMTSL5;TPSAB1;CCDC80;OLFML2A;TPSB2;TFPI2;ANXA8;ECM1;SERPINA5;PODNL1;HPSE;ACHE;ITGA6;TGFBR3;LRRC15;COL4A4;FBN1;LOX;LAMC2;MATN3;LRIG1;MGP;LTBP2;RTN4RL2;PLSCR1;GPC1;AMBP;TNXB;COL27A1;ABI3BP;LRRC17;S100A6;BCAM;THSD4;MBL2;TGFB1;SSC5D;LGALS3;ICAM1;COL24A1;DMBT1;LAMA4;FBLN1;COL5A3;FBN3;COLEC12;COL5A1;TIMP3;ITIH5;ADAMTS10;CTSS;SPON1;COL6A2;F3;LOXL1;COL11A1;HPSE2;COL18A1;SEMA7A;PRTN3;GPC4;PLAT;SERPINA1;ANXA2;HSPG2;COL7A1;ADAM19;WNT5B;ZP1;ADAMTS9;LAMC1;COL20A1;COL2A1;ANGPTL2;TIMP1;ADAMTS1;COL6A1;OMD;NTN1;TGFB3;GP1BA;CD151;EFEMP2;RTBDN;SERPINF1;ADAMTSL4;DAG1;FREM1;AGRN;KAZALD1;LMAN1;MMP23B;EMILIN2;ANXA11;TECTA;MFAP2;THBS4;GLG1;CTSB;VTN;ADAMTS13;TIMP2;ERBIN;LAMB1;ANXA5;APLP1;DST;AEBP1;TFIP11
GO:0030055	cell-substrate junction	http://amigo.geneontology.org/amigo/term/GO:0030055	411	108	63.690675825841	1.695695619486291	6.2792195887340085e-9	5.400128846311247e-7	71;81;102;301;308;667;847;857;858;960;966;975;977;1012;1213;1265;1601;1605;1803;1948;1969;2022;2037;2191;2274;2317;2321;2535;2697;2886;2934;3339;3371;3383;3655;3673;3675;3676;3678;3685;3688;3689;3691;3927;3987;4008;4026;4311;4323;4478;4627;4659;5244;5328;5329;5339;5594;5604;5829;5880;6641;6730;6840;7089;7094;7106;7205;7414;7431;7739;8021;8394;8462;8496;8826;8829;8994;9124;9358;9448;9754;9902;10787;10979;22800;22801;23032;23371;23385;23603;23676;23768;26136;30011;51474;54914;55612;55827;55914;64759;79026;83478;83660;83692;90102;91624;143903;157285	CDH13;FLRT2;CAV1;MSN;MME;PLAU;DAB2;ANXA1;DPP4;ITGBL1;SNTB1;CD44;ITGA5;ITGA3;CAV2;FAP;MMP14;TNC;TRIP6;TES;ITGA4;EPB41L2;LPP;GJA1;STARD8;ABCB4;ITGA2;ITGA6;GSN;LAYN;SMPX;TNS3;VIM;ITGB4;PHLDB2;NEXN;PRAG1;ICAM1;TNS2;FERMT1;NRP1;AHNAK;SH3KBP1;GRB7;HSPG2;LMO7;ACTN4;RAC2;CNN2;ENG;EPHA2;FLT1;FZD2;MYH9;ZNF185;FHL2;PDLIM1;ITGB2;PPFIBP1;TLE2;ITGA11;MAP4K4;CAT;CD59;KLF11;CD151;PXN;MRC2;ITGB1;TSPAN4;DAG1;PLEC;PLAUR;TLN1;EFNB2;VCL;LASP1;RRAS2;IQGAP1;LIMD1;CD81;ITGAV;TLN2;ERBIN;FLNB;LIMA1;ANXA5;CD99L2;ACTG1;NCSTN;CLTC;FOCAD;ARHGAP24;FERMT2;PPP1R12A;ADAM10;DCAF6;CORO1C;DST;LIMS1;SVIL;SRP68;NCKAP1;USP33;MAP2K1;PIP5K1A;NUP214;MAPK1
GO:0005788	endoplasmic reticulum lumen	http://amigo.geneontology.org/amigo/term/GO:0005788	303	85	46.95443984240833	1.8102654463621068	1.1063797544785814e-8	6.3432439256772e-7	102;416;652;718;1277;1280;1286;1289;1290;1291;1292;1293;1294;1295;1297;1301;1303;1305;1435;1605;1906;2157;2200;2335;2621;2695;3371;3488;3491;3912;3915;4052;4148;5154;5155;5265;5329;5743;5768;5799;5954;7057;7076;7448;7474;7477;8542;8824;9563;10148;10232;10272;10418;10491;10618;10695;10970;11093;11098;11167;23193;25870;27248;50509;51246;54507;55214;56034;56886;56975;57642;64167;79188;79642;80124;80781;81029;84141;85301;92949;255631;255738;283208;285362;493869	P3H2;C3;APOL1;GPX8;COL12A1;COL8A1;PCSK9;FAM20C;THBS1;COL1A1;WNT7B;BMP4;ADAMTSL1;COL5A2;PRSS23;PDGFC;CCN1;EBI3;PDGFA;ERAP2;LTBP1;COL6A3;PTGS2;FN1;COL13A1;EVA1A;TNC;PDGFB;GIP;ARSF;CSF1;WNT5A;COL9A1;COL4A4;FBN1;MATN3;COL27A1;ARSJ;QSOX1;RCN1;IGFBP5;COL24A1;EDN1;COL5A3;COL5A1;SPON1;P4HA3;COL6A2;COL11A1;COL18A1;CKAP4;SERPINA1;COL7A1;WNT5B;FSTL1;GAS6;LAMC1;MSLN;F8;COL20A1;PTPRN2;COL2A1;TIMP1;COL6A1;FSTL3;TGOLN2;CRTAP;ERLEC1;ADAMTSL4;DAG1;PLAUR;H6PD;SUMF1;SHISA5;VTN;ADAMTS13;LAMB1;GANAB;TMEM43;ADAM10;SUMF2;VCPIP1;CES2;UGGT1;CNPY3
GO:0005581	collagen trimer	http://amigo.geneontology.org/amigo/term/GO:0005581	87	30	13.481967875542985	2.225194443195612	9.1169034763805e-6	3.920268494843615e-4	1277;1280;1286;1289;1290;1291;1292;1293;1294;1295;1297;1301;1303;1305;2220;4015;4153;4481;10584;50509;57642;80781;81035;84034;85301;114899;114904;255631;387911;390664	COLEC10;COL12A1;COL8A1;COL1A1;COL5A2;C1QTNF8;COL6A3;COL13A1;COL9A1;COL4A4;LOX;FCN2;COL27A1;MSR1;MBL2;COL24A1;COL5A3;COLEC12;COL5A1;COL6A2;COL11A1;COL18A1;COL7A1;COL20A1;COL2A1;C1QTNF9B;COL6A1;C1QTNF6;C1QTNF3;EMILIN2
GO:0042383	sarcolemma	http://amigo.geneontology.org/amigo/term/GO:0042383	134	40	20.765329831296093	1.926287726945455	1.7972022549495037e-5	6.182375757026292e-4	288;301;302;358;477;493;786;817;857;858;1180;1291;1292;1293;1605;3688;3856;3908;4842;5152;5339;5530;6262;6324;6547;6641;7043;7402;7412;7414;7871;23603;27092;57716;59285;64091;79026;81493;113146;493829	CAV1;VCAM1;ANXA1;SNTB1;CAV2;LAMA2;COL6A3;ATP1A2;RYR2;CACNG6;SLC8A3;AHNAK2;TRIM72;SYNC;UTRN;CACNG4;KRT8;CLCN1;ANK3;AHNAK;ATP2B4;SCN1B;COL6A2;ANXA2;NOS1;PDE9A;PRX;POPDC2;COL6A1;CACNG1;TGFB3;ITGB1;DAG1;PLEC;CAMK2D;VCL;AQP1;CORO1C;SLMAP;PPP3CA
GO:0098636	protein complex involved in cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0098636	35	16	5.423780179816143	2.9499720618364687	2.1977370057491008e-5	6.300179416480756e-4	683;3655;3673;3675;3676;3678;3680;3684;3685;3687;3688;3689;3691;8515;9358;22801	ITGBL1;ITGA5;ITGA3;ITGA4;ITGAX;ITGAM;ITGA2;ITGA10;ITGA6;ITGB4;BST1;ITGB2;ITGA11;ITGA9;ITGB1;ITGAV
GO:0043235	receptor complex	http://amigo.geneontology.org/amigo/term/GO:0043235	396	91	61.36619860591979	1.4829010443417223	4.227173648807536e-5	0.0010284722813227454	558;683;780;960;1134;1137;1438;1950;1969;2022;2043;2045;2051;2059;2321;2555;2561;2563;2564;2676;2905;2906;2917;3563;3566;3570;3594;3597;3655;3667;3673;3675;3676;3678;3680;3684;3685;3687;3688;3689;3691;3709;3710;3949;4058;4088;4233;4851;4916;5284;5364;5799;6098;6850;7049;7075;7097;7132;7188;7421;8515;8731;8828;8829;9052;9180;9358;9429;9466;10062;10148;10333;22801;22853;23654;26996;27092;51284;51555;51559;51704;53353;55584;64109;83756;84059;116444;133396;149111;163702;440829	CSF2RA;GABRE;MET;AXL;IL4R;OSMR;ITGBL1;CD44;ITGA5;SYK;ITGA3;EBI3;IFNLR1;EPHA4;IL31RA;GABRD;ABCG2;ADGRV1;GPRC5A;NTRK3;ITGA4;ITGAX;GABRA2;IL6R;VDR;ITGAM;GFRA3;ITGA2;ITGA10;EPHA7;ROS1;NOTCH1;ITGA6;TGFBR3;TLR6;GRM7;GRIN3B;TIE1;TNFRSF1A;SHISA8;NRP2;ITGB4;TLR2;EGF;CHRNA1;IL12RB1;IRS1;EPHB6;EPS8;GPRC5B;GRIN2D;CNIH3;CACNG4;IL13RA1;PIGR;BST1;NRP1;CRLF2;GABRB2;GPR160;NR1H3;ITPR3;DDR1;PEX5L;ENG;CHRNA4;TLR7;SMAD3;EPHA2;FLT1;CHRNA9;PTPRN2;LTK;ITGB2;NT5DC3;ITGA11;ITGA9;IL27RA;PLXNB2;LDLR;ITGB1;LRP1B;IL3RA;GRIN2C;TAS1R3;ITGAV;PLXNB1;RNMT;ITPR2;TRAF5;LMTK2
GO:0005911	cell-cell junction	http://amigo.geneontology.org/amigo/term/GO:0005911	440	99	68.18466511768865	1.451939374185137	4.783592006152304e-5	0.0010284722813227454	81;288;301;302;357;364;477;1001;1002;1009;1012;1015;1265;1305;1605;1803;1894;1969;2173;2258;2683;2697;3655;3678;3688;3856;3875;3937;3987;4627;4643;4690;4856;5175;5244;5318;5530;5580;5582;5584;5586;5590;5795;5796;5908;5912;6324;6330;7223;7317;7409;7414;7454;7855;8322;8502;8531;8826;8994;9076;9080;9124;9218;9265;10052;10076;10256;10397;10806;11187;23037;23768;28316;30011;50855;51421;53834;54532;54566;55114;55243;56288;56666;57493;57608;58538;64065;65266;79026;80115;81607;83692;83872;85456;122786;126374;144100;157378;225689	CDH13;HMCN1;FLRT2;PERP;KIRREL1;ANXA1;DPP4;CLDN1;ITGA5;KRT18;ATP1A2;JCAD;COL13A1;CCN3;TRPC4;WNK4;PKP3;GJA1;LCP2;ABCB4;SHROOM2;FGFRL1;MPP4;ITGA6;CDH17;PTPRK;SCN4B;WTIP;PANX2;FGF13;PRKCG;FABP7;KRT8;PKP2;MAPK15;CDH4;PRKCZ;NDRG1;PECAM1;AMOTL2;ANK3;HEG1;AHNAK;SCN1B;SH3KBP1;CDH11;ANXA2;ACTN4;CNN2;B4GALT1;CDH20;VAV1;PTPRJ;EPHA2;AQP7;PRKCD;FRMD6;MYH9;PDLIM1;FZD4;CNKSR1;WAS;ITGB1;NECTIN4;RAP2B;YBX3;CDH3;DAG1;MYO1E;PLEKHA7;CLDN9;GJC1;VCL;TMEM65;EPB41L4B;PDZD2;IQGAP1;LIMD1;VAPA;PARD6A;PTPRU;BAIAP2L2;TNKS1BP1;FZD5;USP53;CD99L2;RAP1B;NCK1;UBA1;CYTH3;ECT2;PKN2;PRKCI;PKP4;LIMS1;PARD3;ARHGAP17;PPP3CA;SDCCAG8
GO:0031091	platelet alpha granule	http://amigo.geneontology.org/amigo/term/GO:0031091	90	29	13.946863319527225	2.0793205852527885	5.426769466077008e-5	0.0010371159424058282	81;1950;2157;2277;2335;2621;3671;5054;5104;5154;5155;5175;5265;5270;5552;5768;6678;6814;7040;7042;7043;7057;7058;7076;7114;7424;54863;94121;135228	VEGFC;CD109;SRGN;THBS1;THBS2;SERPINE2;PDGFA;SERPINE1;TGFB2;FN1;SPARC;PDGFB;SERPINA5;SYTL4;TMSB4X;EGF;TOR4A;QSOX1;TGFB1;PECAM1;SERPINA1;ACTN4;GAS6;F8;TIMP1;TGFB3;ISLR;VEGFD;STXBP3
GO:0098589	membrane region	http://amigo.geneontology.org/amigo/term/GO:0098589	324	74	50.20870795029801	1.4738479244128961	2.6349615933507486e-4	0.004490618598404865	108;114;147;284;302;330;355;477;493;695;857;858;1012;1605;1803;1820;2697;2771;2817;3383;3635;3667;3684;3688;3689;3784;3920;3937;4642;4842;4864;4923;5045;5175;5244;5359;5590;5594;5621;5657;5743;5903;5908;5912;6281;6404;6532;6714;6778;7097;7132;7223;7514;8826;8871;9289;10008;10333;10630;10666;10855;23426;23603;26509;30846;54742;55243;64750;79026;84830;114569;199920;284119;349667	CDH13;CAV1;KIRREL1;MYOF;DPP4;CAVIN1;CAV2;S100A10;KCNQ1;ATP1A2;PTGS2;TRPC4;LY6K;GJA1;ADRA1B;ITGAM;BIRC3;LCP2;ABCB4;FYB2;HPSE;TLR6;CD226;ADCY2;TNFRSF1A;NTSR1;STAT6;FAS;TLR2;RTN4RL2;PLSCR1;GPC1;IRS1;INPP5D;ICAM1;PDPN;PRKCZ;PECAM1;MAL2;AHNAK;ATP2B4;KCNE3;PRTN3;GRIP1;ANXA2;ADTRP;NPC1;BTK;LAMP2;EHD2;ADCY8;FURIN;NOS1;MYO1D;ANGPT1;ITGB2;ADGRG1;PRNP;ITGB1;RAP2B;DAG1;SELPLG;SYNJ2;SRC;IQGAP1;GNAI2;SLC6A4;RAP1B;ARID3A;XPO1;SMURF2;CORO1C;RANBP2;MAPK1
