geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0050839	cell adhesion molecule binding	http://amigo.geneontology.org/amigo/term/GO:0050839	470	128	72.90697674418605	1.7556618819776713	2.3030688467429172e-11	3.4345193355989068e-9	81;101;102;288;301;302;667;822;831;912;975;977;1001;1002;1009;1012;1015;1192;1265;1289;1490;1969;2191;2194;2200;2317;2335;2810;3383;3491;3655;3673;3675;3676;3678;3685;3688;3689;3691;3875;3927;4323;4478;4627;4690;4856;5062;5093;5214;5318;5339;5578;5586;5770;5789;5792;5829;5861;5905;6387;6714;6850;7045;7057;7060;7077;7094;7106;7148;7223;7402;7412;7414;7448;7706;8170;8482;8496;8502;8745;8826;8840;9052;9124;9208;9218;9358;9531;9748;9793;10178;10226;10397;10457;10516;10666;10985;11093;11187;11336;23670;25978;26136;27237;28316;50807;51100;51429;51474;53616;53827;53841;55357;55379;55898;56829;57142;57410;57451;64837;79026;81607;83872;83874;84978;85456;90102;93663	CDH13;CCN2;HMCN1;TGFBI;MSN;THBS1;VCAM1;ANXA1;ITGBL1;ITGA5;ARHGAP18;SYK;CCN4;ITGA3;GPNMB;TENM2;CCN1;CAPG;FAP;KRT18;FBLN5;FN1;FXYD5;MMP14;GPRC5A;CCN3;TRPC4;TES;ITGA4;PKP3;ITGA2;ITGA6;CDH17;FBN1;CD226;TBC1D2;ITGB4;TNXB;CD1D;PHLDB2;UTRN;CXCL12;ICAM1;PTPRD;PKP2;SFN;CDH4;NDRG1;COL5A1;ANK3;AHNAK;CEMIP2;TENM1;CDH11;SEMA7A;BAG3;ANXA2;ACTN4;CNN2;RTN4;CDH20;EPHA2;SLC14A2;MYH9;PDLIM1;FASN;PLIN3;ITGB2;PPFIBP1;CDHR5;ADAM8;CD151;PXN;ITGB1;PTPRF;NECTIN4;CDH3;TSPAN4;PLEC;TLN1;ARHGEF16;SRC;ADAM22;VCL;CAST;LASP1;IQGAP1;THBS4;CD81;VAPA;VTN;ADAMTS13;TNKS1BP1;TRIM25;ITGAV;TIMP2;CLIC1;TBC1D10A;PFKP;FLNB;LIMA1;CHMP2B;LRRC59;SLK;FRMD5;ADAM23;LRRFIP1;PCBP1;RAB1A;EXOC3;NCK1;SNX9;SH3GLB1;SCYL1;ADAM10;PKN2;DST;PKP4;CKAP5;RANGAP1;GCN1;PRKCA;PAK2;ASAP1;PTPN1;ZC3HAV1;KLC2;UNC45A
GO:0050840	extracellular matrix binding	http://amigo.geneontology.org/amigo/term/GO:0050840	55	30	8.53166749134092	3.5163114397564157	2.4358293160275934e-11	3.4345193355989068e-9	43;302;1301;1520;1605;1893;2817;3491;3655;3673;3675;3680;3685;3688;3958;4059;6678;6695;7045;7057;7448;9289;9353;57211;59277;64093;131578;169611;284297;375790	ADGRG6;TGFBI;SMOC1;THBS1;ITGA3;CCN1;NTN4;SPARC;OLFML2A;ITGA2;ECM1;SLIT2;ACHE;ITGA6;LRRC15;GPC1;BCAM;SSC5D;LGALS3;CTSS;SPOCK1;COL11A1;ANXA2;ADGRG1;ITGA9;ITGB1;DAG1;AGRN;VTN;ITGAV
GO:0005201	extracellular matrix structural constituent	http://amigo.geneontology.org/amigo/term/GO:0005201	158	58	24.50915388421574	2.3664627621989376	4.6853187996021006e-11	4.404199671625975e-9	165;1116;1277;1280;1286;1289;1290;1291;1292;1293;1294;1295;1297;1301;1303;1305;1893;2192;2200;2201;2202;2335;3339;3371;3491;3908;3910;3912;3915;3918;4052;4053;4147;4148;4237;4256;6678;7007;7045;7057;7058;7148;7448;7980;10418;10516;25878;25890;30008;50509;79875;80781;83872;84034;84467;85301;255631;375790	FBN2;HMCN1;EFEMP1;TGFBI;MXRA5;COL12A1;COL8A1;THBS1;COL1A1;THBS2;CHI3L1;COL5A2;CCN1;LAMA2;LTBP1;FBLN5;COL6A3;FN1;COL13A1;TNC;SPARC;MATN2;COL9A1;TFPI2;ECM1;COL4A4;FBN1;LAMC2;MATN3;MGP;LTBP2;TNXB;COL27A1;ABI3BP;THSD4;COL24A1;LAMA4;FBLN1;COL5A3;FBN3;COL5A1;SPON1;COL6A2;COL11A1;COL18A1;HSPG2;COL7A1;LAMC1;COL2A1;COL6A1;EFEMP2;AGRN;EMILIN2;TECTA;MFAP2;VTN;LAMB1;AEBP1
GO:0043394	proteoglycan binding	http://amigo.geneontology.org/amigo/term/GO:0043394	35	21	5.429242949035132	3.867942583732057	2.323247483282387e-9	1.6378894757140827e-7	566;1280;1289;1508;1514;1520;2220;2335;3371;3673;5792;7057;9037;9353;10457;10468;10855;50509;51816;60495;375790	FST;THBS1;GPNMB;ADA2;FN1;SEMA5A;TNC;AZU1;ITGA2;SLIT2;HPSE;FCN2;COL5A3;COL5A1;CTSS;HPSE2;COL2A1;CTSL;PTPRF;AGRN;CTSB
GO:0019838	growth factor binding	http://amigo.geneontology.org/amigo/term/GO:0019838	138	47	21.406729341909948	2.195571273374477	4.8839480015772097e-8	2.2713706424275822e-6	1277;1280;1289;1291;1490;2022;2321;2734;2817;3485;3488;3491;3554;3570;3655;3685;3691;4052;4053;4804;4856;4898;4916;5045;5154;5155;5654;6272;6284;7043;7049;7057;7850;8828;8829;8840;9180;9365;11141;27286;51232;53834;57045;64285;81621;94031;135228	CCN2;CD109;CRIM1;OSMR;THBS1;COL1A1;IL1R1;SRPX2;HTRA1;CCN4;CCN1;PDGFA;LTBP1;CCN3;NTRK3;PDGFB;IL6R;FGFRL1;ITGA6;TGFBR3;RHBDF1;IL1R2;NRP2;IL1RAPL1;LTBP2;ITGB4;GPC1;NGFR;KL;IGFBP5;NRP1;COL5A1;S100A13;ENG;TWSG1;FLT1;FURIN;COL2A1;COL6A1;IGFBP2;TGFB3;KAZALD1;HTRA3;GLG1;ITGAV;NRDC;SORT1
GO:0005518	collagen binding	http://amigo.geneontology.org/amigo/term/GO:0005518	67	29	10.393122216724395	2.7903068390106878	5.141612269277118e-8	2.2713706424275822e-6	43;165;780;960;1508;1514;1520;2335;3673;3675;3680;3688;4088;5154;5155;6678;6695;7045;7057;7448;8515;9289;9902;22801;25890;50509;57211;84168;131578	ADGRG6;TGFBI;THBS1;CD44;ITGA3;PDGFA;FN1;SPARC;PDGFB;ITGA2;ITGA10;ACHE;LRRC15;ABI3BP;ANTXR1;COL5A3;CTSS;SPOCK1;DDR1;SMAD3;ITGA11;ADGRG1;ITGA9;CTSL;MRC2;ITGB1;CTSB;VTN;AEBP1
GO:0005539	glycosaminoglycan binding	http://amigo.geneontology.org/amigo/term/GO:0005539	218	65	33.81642751113311	1.9221427212735758	5.638154076947899e-8	2.2713706424275822e-6	308;333;566;652;960;1289;1301;1305;1490;1809;1991;2022;2200;2255;2335;2660;2799;3491;3918;4053;4057;4856;5104;5228;5270;5621;5792;6288;6649;7049;7057;7058;7060;7097;7130;7148;7448;8828;8829;8840;9037;9289;9353;9388;9510;10178;10457;11167;25890;26032;30817;50509;51816;53834;55576;57214;64388;114548;143903;151887;200879;202915;339366;340419;375790	FGF10;CCN2;SOD3;THBS1;THBS2;CD44;BMP4;SERPINE2;CCN4;GPNMB;CCN1;LIPG;ADA2;ELANE;CEMIP;FN1;COL13A1;SEMA5A;CCN3;NLRP3;SUSD5;ADAMTSL5;AZU1;CCDC80;SERPINA5;SLIT2;FGFRL1;TGFBR3;FBN1;LAMC2;TMEM184A;GREM2;RSPO2;LAYN;NRP2;LTBP2;TLR2;TNXB;ABI3BP;LTF;COL5A3;TNFAIP6;NRP1;COL5A1;SAA1;TENM1;STAB2;COL11A1;ADGRE2;ENG;FSTL1;PGF;ADAMTS1;LIPH;ADGRG1;DPYSL3;PRNP;PTPRF;AGRN;MSTN;GNS;THBS4;VTN;ANXA5;APLP1
GO:1901681	sulfur compound binding	http://amigo.geneontology.org/amigo/term/GO:1901681	239	68	37.073973280554185	1.8341708207376561	2.0554216184631713e-7	7.245361205082679e-6	308;333;566;652;1289;1301;1305;1490;1809;1991;2200;2255;2335;2660;2948;3491;3673;3918;4053;4057;4257;4856;4967;5104;5167;5228;5270;5792;6262;6288;6649;7049;7057;7058;7060;7148;7448;8828;8829;8840;9037;9289;9353;9388;9510;10178;10457;10468;11167;24142;25890;27010;30817;50509;51816;53834;60495;64388;64746;79777;80339;89792;151887;200879;202915;339366;340419;375790	FGF10;CCN2;FST;ENPP1;SOD3;THBS1;THBS2;BMP4;SERPINE2;CCN4;GPNMB;CCN1;LIPG;ADA2;ELANE;FN1;COL13A1;RYR2;SEMA5A;CCN3;ADAMTSL5;PNPLA3;AZU1;CCDC80;ITGA2;SERPINA5;SLIT2;FGFRL1;TGFBR3;FBN1;LAMC2;TMEM184A;GREM2;RSPO2;NRP2;LTBP2;TPK1;TNXB;ABI3BP;LTF;COL5A3;NRP1;COL5A1;GAL3ST3;SAA1;TENM1;COL11A1;HPSE2;ADGRE2;MGST1;FSTL1;PGF;ADAMTS1;LIPH;ADGRG1;DPYSL3;ACBD4;PTPRF;AGRN;MSTN;THBS4;VTN;ACBD3;ANXA5;APLP1;GSTM4;NAA80;OGDH
GO:0001968	fibronectin binding	http://amigo.geneontology.org/amigo/term/GO:0001968	26	15	4.033151904997526	3.7191755612808244	9.654357168153993e-7	3.025031912688251e-5	1490;1514;1520;2192;3488;3675;3676;3685;3688;7057;10272;84695;131578;151887;284297	CCN2;THBS1;ITGA3;ITGA4;CCDC80;LRRC15;SSC5D;IGFBP5;FBLN1;CTSS;LOXL3;FSTL3;CTSL;ITGB1;ITGAV
GO:0019955	cytokine binding	http://amigo.geneontology.org/amigo/term/GO:0019955	127	40	19.700395843641765	2.030416054452523	4.507254412811079e-6	1.2710457444127242e-4	1232;1236;1438;1991;2022;2633;3554;3563;3570;3594;3597;3676;3685;3688;4052;7043;7049;7057;7132;7850;8322;8792;8828;8829;9180;9241;9466;10148;10630;10663;11141;26585;27252;53832;57045;58985;64109;64388;133396;135228	CSF2RA;CD109;OSMR;THBS1;IL1R1;GREM1;GBP1;EBI3;NOG;ELANE;IL31RA;LTBP1;IL22RA1;ITGA4;IL6R;TGFBR3;GREM2;TNFRSF1A;IL20RA;IL1R2;NRP2;IL1RAPL1;IL12RB1;IL13RA1;PDPN;CCR3;NRP1;CRLF2;TNFRSF11A;ENG;CCR7;TWSG1;FZD4;CXCR6;TGFB3;IL27RA;ITGB1;IL3RA;ITGAV;KLHL20
