userId	geneSymbol	geneName	entrezgene	gLink
PSG4	PSG4	pregnancy specific beta-1-glycoprotein 4	5672	https://www.ncbi.nlm.nih.gov/gene/?term=5672
IL7R	IL7R	interleukin 7 receptor	3575	https://www.ncbi.nlm.nih.gov/gene/?term=3575
CDH13	CDH13	cadherin 13	1012	https://www.ncbi.nlm.nih.gov/gene/?term=1012
TFAP2C	TFAP2C	transcription factor AP-2 gamma	7022	https://www.ncbi.nlm.nih.gov/gene/?term=7022
AR	AR	androgen receptor	367	https://www.ncbi.nlm.nih.gov/gene/?term=367
HOXB4	HOXB4	homeobox B4	3214	https://www.ncbi.nlm.nih.gov/gene/?term=3214
SH3RF2	SH3RF2	SH3 domain containing ring finger 2	153769	https://www.ncbi.nlm.nih.gov/gene/?term=153769
TXLNGY	TXLNGY	taxilin gamma pseudogene, Y-linked	246126	https://www.ncbi.nlm.nih.gov/gene/?term=246126
FEZF1-AS1	FEZF1-AS1	FEZF1 antisense RNA 1	154860	https://www.ncbi.nlm.nih.gov/gene/?term=154860
COLEC10	COLEC10	collectin subfamily member 10	10584	https://www.ncbi.nlm.nih.gov/gene/?term=10584
AKR1B10	AKR1B10	aldo-keto reductase family 1 member B10	57016	https://www.ncbi.nlm.nih.gov/gene/?term=57016
CXCL5	CXCL5	C-X-C motif chemokine ligand 5	6374	https://www.ncbi.nlm.nih.gov/gene/?term=6374
HOXA11-AS	HOXA11-AS	HOXA11 antisense RNA	221883	https://www.ncbi.nlm.nih.gov/gene/?term=221883
PRKY	PRKY	protein kinase Y-linked (pseudogene)	5616	https://www.ncbi.nlm.nih.gov/gene/?term=5616
CSF2RA	CSF2RA	colony stimulating factor 2 receptor alpha subunit	1438	https://www.ncbi.nlm.nih.gov/gene/?term=1438
HOXB6	HOXB6	homeobox B6	3216	https://www.ncbi.nlm.nih.gov/gene/?term=3216
FGF10	FGF10	fibroblast growth factor 10	2255	https://www.ncbi.nlm.nih.gov/gene/?term=2255
EIF1AY	EIF1AY	eukaryotic translation initiation factor 1A Y-linked	9086	https://www.ncbi.nlm.nih.gov/gene/?term=9086
POU3F3	POU3F3	POU class 3 homeobox 3	5455	https://www.ncbi.nlm.nih.gov/gene/?term=5455
FBN2	FBN2	fibrillin 2	2201	https://www.ncbi.nlm.nih.gov/gene/?term=2201
GALNT5	GALNT5	polypeptide N-acetylgalactosaminyltransferase 5	11227	https://www.ncbi.nlm.nih.gov/gene/?term=11227
ZIC2	ZIC2	Zic family member 2	7546	https://www.ncbi.nlm.nih.gov/gene/?term=7546
CCN2	CCN2	cellular communication network factor 2	1490	https://www.ncbi.nlm.nih.gov/gene/?term=1490
FST	FST	follistatin	10468	https://www.ncbi.nlm.nih.gov/gene/?term=10468
VEGFC	VEGFC	vascular endothelial growth factor C	7424	https://www.ncbi.nlm.nih.gov/gene/?term=7424
AMIGO2	AMIGO2	adhesion molecule with Ig like domain 2	347902	https://www.ncbi.nlm.nih.gov/gene/?term=347902
P3H2	P3H2	prolyl 3-hydroxylase 2	55214	https://www.ncbi.nlm.nih.gov/gene/?term=55214
C3	C3	complement C3	718	https://www.ncbi.nlm.nih.gov/gene/?term=718
HMCN1	HMCN1	hemicentin 1	83872	https://www.ncbi.nlm.nih.gov/gene/?term=83872
GABRE	GABRE	gamma-aminobutyric acid type A receptor epsilon subunit	2564	https://www.ncbi.nlm.nih.gov/gene/?term=2564
FLRT2	FLRT2	fibronectin leucine rich transmembrane protein 2	23768	https://www.ncbi.nlm.nih.gov/gene/?term=23768
CD109	CD109	CD109 molecule	135228	https://www.ncbi.nlm.nih.gov/gene/?term=135228
LATS2	LATS2	large tumor suppressor kinase 2	26524	https://www.ncbi.nlm.nih.gov/gene/?term=26524
NNMT	NNMT	nicotinamide N-methyltransferase	4837	https://www.ncbi.nlm.nih.gov/gene/?term=4837
HOXB2	HOXB2	homeobox B2	3212	https://www.ncbi.nlm.nih.gov/gene/?term=3212
SASH1	SASH1	SAM and SH3 domain containing 1	23328	https://www.ncbi.nlm.nih.gov/gene/?term=23328
CRIM1	CRIM1	cysteine rich transmembrane BMP regulator 1	51232	https://www.ncbi.nlm.nih.gov/gene/?term=51232
APOL1	APOL1	apolipoprotein L1	8542	https://www.ncbi.nlm.nih.gov/gene/?term=8542
ADGRE1	ADGRE1	adhesion G protein-coupled receptor E1	2015	https://www.ncbi.nlm.nih.gov/gene/?term=2015
ADGRG6	ADGRG6	adhesion G protein-coupled receptor G6	57211	https://www.ncbi.nlm.nih.gov/gene/?term=57211
EFEMP1	EFEMP1	EGF containing fibulin extracellular matrix protein 1	2202	https://www.ncbi.nlm.nih.gov/gene/?term=2202
LAMB3	LAMB3	laminin subunit beta 3	3914	https://www.ncbi.nlm.nih.gov/gene/?term=3914
IGF2BP2	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	10644	https://www.ncbi.nlm.nih.gov/gene/?term=10644
LINC01102	LINC01102	long intergenic non-protein coding RNA 1102	150568	https://www.ncbi.nlm.nih.gov/gene/?term=150568
TMEM200A	TMEM200A	transmembrane protein 200A	114801	https://www.ncbi.nlm.nih.gov/gene/?term=114801
HOXB3	HOXB3	homeobox B3	3213	https://www.ncbi.nlm.nih.gov/gene/?term=3213
CAV1	CAV1	caveolin 1	857	https://www.ncbi.nlm.nih.gov/gene/?term=857
MIR222HG	MIR222HG	miR222/221 cluster host gene	104457406	https://www.ncbi.nlm.nih.gov/gene/?term=104457406
MLPH	MLPH	melanophilin	79083	https://www.ncbi.nlm.nih.gov/gene/?term=79083
PADI3	PADI3	peptidyl arginine deiminase 3	51702	https://www.ncbi.nlm.nih.gov/gene/?term=51702
CTAG2	CTAG2	cancer/testis antigen 2	30848	https://www.ncbi.nlm.nih.gov/gene/?term=30848
PAGE2	PAGE2	PAGE family member 2	203569	https://www.ncbi.nlm.nih.gov/gene/?term=203569
MET	MET	MET proto-oncogene, receptor tyrosine kinase	4233	https://www.ncbi.nlm.nih.gov/gene/?term=4233
IGFN1	IGFN1	immunoglobulin-like and fibronectin type III domain containing 1	91156	https://www.ncbi.nlm.nih.gov/gene/?term=91156
MAGEA1	MAGEA1	MAGE family member A1	4100	https://www.ncbi.nlm.nih.gov/gene/?term=4100
GPX8	GPX8	glutathione peroxidase 8 (putative)	493869	https://www.ncbi.nlm.nih.gov/gene/?term=493869
DMRTA1	DMRTA1	DMRT like family A1	63951	https://www.ncbi.nlm.nih.gov/gene/?term=63951
MSC	MSC	musculin	9242	https://www.ncbi.nlm.nih.gov/gene/?term=9242
TGFBI	TGFBI	transforming growth factor beta induced	7045	https://www.ncbi.nlm.nih.gov/gene/?term=7045
CPA4	CPA4	carboxypeptidase A4	51200	https://www.ncbi.nlm.nih.gov/gene/?term=51200
MXRA5	MXRA5	matrix remodeling associated 5	25878	https://www.ncbi.nlm.nih.gov/gene/?term=25878
