geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa04510	Focal adhesion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04510+1277+1280+1286+1291+1292+1293+1297+1950+2277+22801+2317+2321+2335+2932+330+331+3371+3655+3673+3675+3676+3678+3680+3685+3688+3691+3908+3910+3912+3914+3915+3918+399694+4233+4638+4659+5062+5154+5155+5228+5290+5291+5293+5578+5582+5594+56034+5604+5829+5880+5908+6093+6714+7057+7058+7060+7094+71+7148+7409+7414+7424+7448+81+83660+8515+85366+857+858	199	69	29.69944979367263	2.3232753629900653	1.6631140908884845e-12	5.38848965447869e-10	1277;1280;1286;1291;1292;1293;1297;1950;2277;22801;2317;2321;2335;2932;330;331;3371;3655;3673;3675;3676;3678;3680;3685;3688;3691;3908;3910;3912;3914;3915;3918;399694;4233;4638;4659;5062;5154;5155;5228;5290;5291;5293;5578;5582;5594;56034;5604;5829;5880;5908;6093;6714;7057;7058;7060;7094;71;7148;7409;7414;7424;7448;81;83660;8515;85366;857;858	VEGFC;LAMB3;CAV1;MET;THBS1;COL1A1;THBS2;ITGA5;PDGFC;ITGA3;PDGFA;CAV2;LAMA2;COL6A3;FN1;TNC;PDGFB;ITGA4;COL9A1;MYLK;BIRC3;ITGA2;ITGA10;ITGA6;COL4A4;LAMC2;ITGB4;SHC4;EGF;TNXB;PRKCG;LAMA4;COL6A2;ACTN4;RAC2;VAV1;FLT1;LAMC1;PGF;COL2A1;COL6A1;ITGA11;ITGA9;PXN;ITGB1;PIK3CD;TLN1;SRC;MYLK2;VCL;THBS4;VTN;ITGAV;TLN2;FLNB;LAMB1;PIK3CB;ACTG1;RAP1B;ROCK1;PPP1R12A;VEGFD;XIAP;GSK3B;PRKCA;PAK2;PIK3CA;MAP2K1;MAPK1
hsa04512	ECM-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04512+1277+1280+1286+1291+1292+1293+1297+1605+22801+2335+2811+3339+3371+3655+3673+3675+3676+3678+3680+3685+3688+3691+375790+3908+3910+3912+3914+3915+3918+7057+7058+7060+7148+7448+8515+960+9899	82	37	12.237964236588722	3.023378666966393	4.925282404144582e-11	7.978957494714223e-9	1277;1280;1286;1291;1292;1293;1297;1605;22801;2335;2811;3339;3371;3655;3673;3675;3676;3678;3680;3685;3688;3691;375790;3908;3910;3912;3914;3915;3918;7057;7058;7060;7148;7448;8515;960;9899	LAMB3;THBS1;COL1A1;THBS2;CD44;ITGA5;ITGA3;LAMA2;COL6A3;FN1;TNC;ITGA4;COL9A1;ITGA2;ITGA10;ITGA6;COL4A4;LAMC2;ITGB4;TNXB;LAMA4;COL6A2;HSPG2;LAMC1;SV2B;COL2A1;COL6A1;ITGA11;ITGA9;GP1BA;ITGB1;DAG1;AGRN;THBS4;VTN;ITGAV;LAMB1
hsa05205	Proteoglycans in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05205+1026+10855+117581+1514+22800+2317+2335+2535+2817+288+29102+3059+3236+3339+355+3673+3678+3685+3688+3709+3710+4233+4478+4659+51196+51384+5290+5291+5293+5328+5329+5336+5578+5582+5594+5604+5829+60495+6093+6714+6774+7040+7042+7057+7078+7097+71+7291+7448+7474+7477+7480+7483+7855+81029+817+8322+8325+857+858+8826+960	201	62	29.997936726272354	2.0668088130774698	5.068375386052537e-9	5.47384541693674e-7	1026;10855;117581;1514;22800;2317;2335;2535;2817;288;29102;3059;3236;3339;355;3673;3678;3685;3688;3709;3710;4233;4478;4659;51196;51384;5290;5291;5293;5328;5329;5336;5578;5582;5594;5604;5829;60495;6093;6714;6774;7040;7042;7057;7078;7097;71;7291;7448;7474;7477;7480;7483;7855;81029;817;8322;8325;857;858;8826;960	CAV1;MET;MSN;PLAU;TWIST2;THBS1;CD44;WNT7B;ITGA5;WNT9A;CAV2;TGFB2;FN1;FZD8;WNT5A;ITGA2;HPSE;PLCG2;HOXD10;FAS;TLR2;GPC1;PRKCG;TGFB1;TIMP3;ANK3;CDKN1A;HPSE2;ITPR3;HSPG2;WNT16;WNT5B;FZD2;FZD4;HCLS1;WNT10B;CTSL;PLCE1;PXN;ITGB1;PIK3CD;PLAUR;SRC;CAMK2D;RRAS2;IQGAP1;STAT3;VTN;FZD5;ITGAV;FLNB;PIK3CB;ACTG1;ROCK1;PPP1R12A;TWIST1;ITPR2;PRKCA;PIK3CA;MAP2K1;DROSHA;MAPK1
hsa04360	Axon guidance	http://www.kegg.jp/kegg-bin/show_pathway?hsa04360+10501+10509+151449+1948+1969+2043+2045+2051+22885+23380+23654+25791+2770+2771+2932+3688+4233+4690+4773+5062+50855+5290+5291+5293+5336+5364+54434+54437+5530+5578+5590+5594+56288+56920+5880+59277+6093+6387+6714+7222+7223+7474+7869+81029+817+84628+8482+85464+8633+8829+9037+9353+9423	175	53	26.11760660247593	2.0292824226464776	1.3156041855921785e-7	1.0656393903296646e-5	10501;10509;151449;1948;1969;2043;2045;2051;22885;23380;23654;25791;2770;2771;2932;3688;4233;4690;4773;5062;50855;5290;5291;5293;5336;5364;54434;54437;5530;5578;5590;5594;56288;56920;5880;59277;6093;6387;6714;7222;7223;7474;7869;81029;817;84628;8482;85464;8633;8829;9037;9353;9423	MET;EPHA4;NGEF;SEMA6B;NTN4;SEMA5A;TRPC4;WNT5A;GDF7;SLIT2;ABLIM3;EPHA7;TRPC3;PLCG2;EPHB6;CXCL12;SEMA3B;SEMA5B;PRKCZ;NRP1;NTNG2;SEMA7A;RAC2;WNT5B;EPHA2;NFATC2;NTN1;PLXNB2;ITGB1;PIK3CD;SRC;EFNB2;CAMK2D;SRGAP2;UNC5C;PARD6A;SEMA4B;GNAI2;PIK3CB;SEMA3G;SSH2;ROCK1;PLXNB1;NCK1;GNAI1;SSH1;PARD3;GSK3B;PRKCA;PPP3CA;PAK2;PIK3CA;MAPK1
hsa04810	Regulation of actin cytoskeleton	http://www.kegg.jp/kegg-bin/show_pathway?hsa04810+10787+1131+1950+2250+2253+2255+22800+22801+2335+2934+3071+3655+3673+3675+3676+3678+3680+3684+3685+3687+3688+3689+3691+375189+4478+4627+4638+4659+5062+5154+5155+5217+5290+5291+5293+5305+54434+5594+55970+56034+5604+5829+5880+6093+623+6387+6714+71+7114+7409+7414+7454+81+8394+8515+85366+85464+85477+8826	213	59	31.788858321870705	1.8559961922070052	7.858591861698017e-7	5.0923675263803146e-5	10787;1131;1950;2250;2253;2255;22800;22801;2335;2934;3071;3655;3673;3675;3676;3678;3680;3684;3685;3687;3688;3689;3691;375189;4478;4627;4638;4659;5062;5154;5155;5217;5290;5291;5293;5305;54434;5594;55970;56034;5604;5829;5880;6093;623;6387;6714;71;7114;7409;7414;7454;81;8394;8515;85366;85464;85477;8826	FGF10;MSN;FGF5;ITGA5;PDGFC;ITGA3;PDGFA;SCIN;FN1;PDGFB;ITGA4;ITGAX;MYLK;ITGAM;NCKAP1L;ITGA2;ITGA10;ITGA6;FGF8;GSN;CHRM3;ITGB4;TMSB4X;EGF;CXCL12;ACTN4;RAC2;BDKRB1;VAV1;MYH9;ITGB2;ITGA11;WAS;ITGA9;PXN;ITGB1;PIK3CD;SRC;PFN4;MYLK2;VCL;PIP4K2A;RRAS2;IQGAP1;ITGAV;GNG12;PIK3CB;ACTG1;SSH2;ROCK1;PPP1R12A;SSH1;PFN2;NCKAP1;PAK2;PIK3CA;MAP2K1;PIP5K1A;MAPK1
hsa05202	Transcriptional misregulation in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05202+1026+1647+1991+2005+2308+2313+2321+2530+3205+3206+3207+330+3398+3684+4094+4211+4233+4286+4299+4616+466+4804+5077+5087+51384+5154+51804+5327+5328+5371+5468+55589+5966+598+604+6258+64332+6495+6692+6757+6935+727837+7403+7849+7850+8091+860+861+8938	168	49	25.072902338376892	1.9543010752688172	1.353303886064694e-6	7.307840984749348e-5	1026;1647;1991;2005;2308;2313;2321;2530;3205;3206;3207;330;3398;3684;4094;4211;4233;4286;4299;4616;466;4804;5077;5087;51384;5154;51804;5327;5328;5371;5468;55589;5966;598;604;6258;64332;6495;6692;6757;6935;727837;7403;7849;7850;8091;860;861;8938	MET;PLAU;SIX1;RUNX2;RUNX1;HMGA2;PDGFA;ELANE;SSX2;BCL6;ITGAM;BIRC3;FLI1;RXRG;GADD45B;SIX4;MAF;IL1R2;NFKBIZ;SSX2B;PPARG;HOXA11;NGFR;BAIAP3;PAX8;PAX3;MITF;HOXA10;FOXO1;HOXA9;CDKN1A;PLAT;WNT16;FLT1;FUT8;GADD45A;ELK4;PBX1;PML;ID2;SPINT1;AFF1;REL;ATF1;BMP2K;BCL2L1;ZEB1;KDM6A;MEIS1
hsa04015	Rap1 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04015+108+114+135+136+1435+1950+1969+2250+2253+2255+2277+2321+25780+26037+2770+2771+2778+284+3684+3688+3689+375189+3937+4233+4803+4804+50855+51196+5154+5155+5217+5228+5290+5291+5293+5578+5582+5584+5587+5590+5594+56034+5604+5606+56288+5880+5908+6714+7057+7094+71+7424+805+83593+83660	206	55	30.744154057771667	1.7889579884568922	6.326262789624337e-6	2.928155919768979e-4	108;114;135;136;1435;1950;1969;2250;2253;2255;2277;2321;25780;26037;2770;2771;2778;284;3684;3688;3689;375189;3937;4233;4803;4804;50855;51196;5154;5155;5217;5228;5290;5291;5293;5578;5582;5584;5587;5590;5594;56034;5604;5606;56288;5880;5908;6714;7057;7094;71;7424;805;83593;83660	FGF10;VEGFC;MET;FGF5;THBS1;PDGFC;PDGFA;PDGFB;CSF1;RASGRP3;ITGAM;LCP2;RASSF5;FGF8;ADCY2;PRKD1;EGF;NGFR;PRKCG;PRKCZ;RAC2;EPHA2;FLT1;ADCY8;NGF;ANGPT1;PGF;SIPA1L1;ADORA2B;ITGB2;PLCE1;ITGB1;PIK3CD;TLN1;SRC;PFN4;PARD6A;MAP2K3;TLN2;ADORA2A;GNAI2;PIK3CB;ACTG1;RAP1B;CALM2;GNAI1;VEGFD;PFN2;PRKCI;PARD3;GNAS;PRKCA;PIK3CA;MAP2K1;MAPK1
hsa04974	Protein digestion and absorption	http://www.kegg.jp/kegg-bin/show_pathway?hsa04974+10008+1277+1280+1286+1289+1290+1291+1292+1293+1294+1297+1301+1303+1305+1803+23428+255631+3783+3784+4311+477+482+50509+5646+6547+6550+7512+80781+85301+9056	90	30	13.431911966987622	2.2334869431643622	8.798668725717995e-6	3.563460833915788e-4	10008;1277;1280;1286;1289;1290;1291;1292;1293;1294;1297;1301;1303;1305;1803;23428;255631;3783;3784;4311;477;482;50509;5646;6547;6550;7512;80781;85301;9056	COL12A1;MME;COL1A1;DPP4;COL5A2;SLC7A8;KCNQ1;COL6A3;ATP1A2;COL13A1;KCNN4;COL9A1;SLC8A3;COL4A4;SLC9A3;COL27A1;XPNPEP2;COL24A1;COL5A3;COL5A1;KCNE3;COL6A2;COL11A1;COL18A1;COL7A1;COL2A1;SLC7A7;COL6A1;ATP1B2;PRSS3
hsa04390	Hippo signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04390+10413+11186+122786+126374+1490+151449+2535+25937+26524+2932+3398+3689+392255+3993+4088+5054+50855+51176+51384+55233+5584+5590+56288+652+654+656+6591+6657+6932+7003+7040+7042+7043+71+7474+7477+7480+7483+7855+81029+8322+8325+8994	153	43	22.834250343878956	1.8831360501189722	1.6685791855652887e-5	6.006885068035039e-4	10413;11186;122786;126374;1490;151449;2535;25937;26524;2932;3398;3689;392255;3993;4088;5054;50855;51176;51384;55233;5584;5590;56288;652;654;656;6591;6657;6932;7003;7040;7042;7043;71;7474;7477;7480;7483;7855;81029;8322;8325;8994	CCN2;LATS2;LEF1;WNT7B;BMP4;WWTR1;GDF6;WNT9A;SERPINE1;TGFB2;FZD8;WNT5A;GDF7;WTIP;BMP6;YAP1;TGFB1;TCF7;SNAI2;PRKCZ;SOX2;WNT16;WNT5B;BMP8B;SMAD3;FZD2;FRMD6;LLGL2;FZD4;ITGB2;WNT10B;TGFB3;ID2;LIMD1;PARD6A;FZD5;ACTG1;MOB1A;PRKCI;PARD3;GSK3B;TEAD1;RASSF1
hsa04010	MAPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04010+10746+11221+1435+1647+1844+1847+1850+1950+1969+2005+2250+2253+2255+2277+22800+2317+2321+25780+27092+284+355+3554+3556+4214+4215+4217+4233+4296+4615+4616+4791+4803+4804+5062+51347+5154+5155+51776+5228+5321+5530+5578+5582+5594+55970+56034+5604+5606+5880+5908+59285+5971+6196+6197+627+6789+7039+7040+7042+7043+7132+7424+773+786+8605+8913+9020+9254+93589+9448	294	70	43.877579092159564	1.5953478165459731	2.7361637250145066e-5	8.865170469047e-4	10746;11221;1435;1647;1844;1847;1850;1950;1969;2005;2250;2253;2255;2277;22800;2317;2321;25780;27092;284;355;3554;3556;4214;4215;4217;4233;4296;4615;4616;4791;4803;4804;5062;51347;5154;5155;51776;5228;5321;5530;5578;5582;5594;55970;56034;5604;5606;5880;5908;59285;5971;6196;6197;627;6789;7039;7040;7042;7043;7132;7424;773;786;8605;8913;9020;9254;93589;9448	FGF10;VEGFC;MET;FGF5;IL1R1;PDGFC;PDGFA;TGFB2;CACNA1A;IL1RAP;TGFA;CACNG6;PDGFB;CACNA2D4;CSF1;RASGRP3;FGF8;CACNA1G;GADD45B;TNFRSF1A;FAS;EGF;CACNA2D2;NGFR;PRKCG;DUSP10;TGFB1;CACNG4;BDNF;MAP3K5;DUSP2;RAC2;RELB;PLA2G4A;EPHA2;FLT1;MAP3K20;NGF;ANGPT1;PGF;PLA2G4C;MAP3K14;DUSP8;GADD45A;MAP4K4;CACNG1;DUSP5;TGFB3;ELK4;NFKB2;MAP3K1;RRAS2;MAP2K3;GNG12;FLNB;MAP3K2;MAP3K11;RAP1B;RPS6KA2;VEGFD;TAOK3;MYD88;PRKCA;RPS6KA3;PPP3CA;MAP3K3;PAK2;MAP2K1;STK4;MAPK1
