userId	geneSymbol	geneName	entrezgene	gLink
COL22A1	COL22A1	collagen type XXII alpha 1 chain	169044	https://www.ncbi.nlm.nih.gov/gene/?term=169044
POU3F3	POU3F3	POU class 3 homeobox 3	5455	https://www.ncbi.nlm.nih.gov/gene/?term=5455
B3GALNT1	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	8706	https://www.ncbi.nlm.nih.gov/gene/?term=8706
RORB	RORB	RAR related orphan receptor B	6096	https://www.ncbi.nlm.nih.gov/gene/?term=6096
NRIP1	NRIP1	nuclear receptor interacting protein 1	8204	https://www.ncbi.nlm.nih.gov/gene/?term=8204
SLC16A7	SLC16A7	solute carrier family 16 member 7	9194	https://www.ncbi.nlm.nih.gov/gene/?term=9194
DPP10	DPP10	dipeptidyl peptidase like 10	57628	https://www.ncbi.nlm.nih.gov/gene/?term=57628
TDRD1	TDRD1	tudor domain containing 1	56165	https://www.ncbi.nlm.nih.gov/gene/?term=56165
SYK	SYK	spleen associated tyrosine kinase	6850	https://www.ncbi.nlm.nih.gov/gene/?term=6850
GABRA1	GABRA1	gamma-aminobutyric acid type A receptor alpha1 subunit	2554	https://www.ncbi.nlm.nih.gov/gene/?term=2554
FRRS1L	FRRS1L	ferric chelate reductase 1 like	23732	https://www.ncbi.nlm.nih.gov/gene/?term=23732
PANTR1	PANTR1	POU3F3 adjacent non-coding transcript 1	100506421	https://www.ncbi.nlm.nih.gov/gene/?term=100506421
LMX1B	LMX1B	LIM homeobox transcription factor 1 beta	4010	https://www.ncbi.nlm.nih.gov/gene/?term=4010
GABRG2	GABRG2	gamma-aminobutyric acid type A receptor gamma2 subunit	2566	https://www.ncbi.nlm.nih.gov/gene/?term=2566
RTL1	RTL1	retrotransposon Gag like 1	388015	https://www.ncbi.nlm.nih.gov/gene/?term=388015
CHGA	CHGA	chromogranin A	1113	https://www.ncbi.nlm.nih.gov/gene/?term=1113
SLC6A2	SLC6A2	solute carrier family 6 member 2	6530	https://www.ncbi.nlm.nih.gov/gene/?term=6530
PHOX2A	PHOX2A	paired like homeobox 2A	401	https://www.ncbi.nlm.nih.gov/gene/?term=401
TFAP2B	TFAP2B	transcription factor AP-2 beta	7021	https://www.ncbi.nlm.nih.gov/gene/?term=7021
INSM2	INSM2	INSM transcriptional repressor 2	84684	https://www.ncbi.nlm.nih.gov/gene/?term=84684
DLK1	DLK1	delta like non-canonical Notch ligand 1	8788	https://www.ncbi.nlm.nih.gov/gene/?term=8788
RELN	RELN	reelin	5649	https://www.ncbi.nlm.nih.gov/gene/?term=5649
IGFBPL1	IGFBPL1	insulin like growth factor binding protein like 1	347252	https://www.ncbi.nlm.nih.gov/gene/?term=347252
STMN2	STMN2	stathmin 2	11075	https://www.ncbi.nlm.nih.gov/gene/?term=11075
CADM1	CADM1	cell adhesion molecule 1	23705	https://www.ncbi.nlm.nih.gov/gene/?term=23705
PHOX2B	PHOX2B	paired like homeobox 2B	8929	https://www.ncbi.nlm.nih.gov/gene/?term=8929
SLC18A1	SLC18A1	solute carrier family 18 member A1	6570	https://www.ncbi.nlm.nih.gov/gene/?term=6570
NRCAM	NRCAM	neuronal cell adhesion molecule	4897	https://www.ncbi.nlm.nih.gov/gene/?term=4897
KIF26A	KIF26A	kinesin family member 26A	26153	https://www.ncbi.nlm.nih.gov/gene/?term=26153
ELAVL4	ELAVL4	ELAV like RNA binding protein 4	1996	https://www.ncbi.nlm.nih.gov/gene/?term=1996
FAM163A	FAM163A	family with sequence similarity 163 member A	148753	https://www.ncbi.nlm.nih.gov/gene/?term=148753
MET	MET	MET proto-oncogene, receptor tyrosine kinase	4233	https://www.ncbi.nlm.nih.gov/gene/?term=4233
DCX	DCX	doublecortin	1641	https://www.ncbi.nlm.nih.gov/gene/?term=1641
DDC	DDC	dopa decarboxylase	1644	https://www.ncbi.nlm.nih.gov/gene/?term=1644
SYT4	SYT4	synaptotagmin 4	6860	https://www.ncbi.nlm.nih.gov/gene/?term=6860
PSG4	PSG4	pregnancy specific beta-1-glycoprotein 4	5672	https://www.ncbi.nlm.nih.gov/gene/?term=5672
GALNT5	GALNT5	polypeptide N-acetylgalactosaminyltransferase 5	11227	https://www.ncbi.nlm.nih.gov/gene/?term=11227
MYCN	MYCN	MYCN proto-oncogene, bHLH transcription factor	4613	https://www.ncbi.nlm.nih.gov/gene/?term=4613
IL7R	IL7R	interleukin 7 receptor	3575	https://www.ncbi.nlm.nih.gov/gene/?term=3575
NPY	NPY	neuropeptide Y	4852	https://www.ncbi.nlm.nih.gov/gene/?term=4852
FAM30A	FAM30A	family with sequence similarity 30 member A	9834	https://www.ncbi.nlm.nih.gov/gene/?term=9834
PPP1R16B	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	26051	https://www.ncbi.nlm.nih.gov/gene/?term=26051
ARHGAP36	ARHGAP36	Rho GTPase activating protein 36	158763	https://www.ncbi.nlm.nih.gov/gene/?term=158763
XKR7	XKR7	XK related 7	343702	https://www.ncbi.nlm.nih.gov/gene/?term=343702
FST	FST	follistatin	10468	https://www.ncbi.nlm.nih.gov/gene/?term=10468
KCNQ2	KCNQ2	potassium voltage-gated channel subfamily Q member 2	3785	https://www.ncbi.nlm.nih.gov/gene/?term=3785
MEG3	MEG3	maternally expressed 3	55384	https://www.ncbi.nlm.nih.gov/gene/?term=55384
CLSTN2	CLSTN2	calsyntenin 2	64084	https://www.ncbi.nlm.nih.gov/gene/?term=64084
IGF2	IGF2	insulin like growth factor 2	3481	https://www.ncbi.nlm.nih.gov/gene/?term=3481
GAL	GAL	galanin and GMAP prepropeptide	51083	https://www.ncbi.nlm.nih.gov/gene/?term=51083
CCN2	CCN2	cellular communication network factor 2	1490	https://www.ncbi.nlm.nih.gov/gene/?term=1490
DPP4	DPP4	dipeptidyl peptidase 4	1803	https://www.ncbi.nlm.nih.gov/gene/?term=1803
GABRB3	GABRB3	gamma-aminobutyric acid type A receptor beta3 subunit	2562	https://www.ncbi.nlm.nih.gov/gene/?term=2562
HMGA2	HMGA2	high mobility group AT-hook 2	8091	https://www.ncbi.nlm.nih.gov/gene/?term=8091
KIF1A	KIF1A	kinesin family member 1A	547	https://www.ncbi.nlm.nih.gov/gene/?term=547
CPLX2	CPLX2	complexin 2	10814	https://www.ncbi.nlm.nih.gov/gene/?term=10814
CAMKV	CAMKV	CaM kinase like vesicle associated	79012	https://www.ncbi.nlm.nih.gov/gene/?term=79012
FBN2	FBN2	fibrillin 2	2201	https://www.ncbi.nlm.nih.gov/gene/?term=2201
HS6ST3	HS6ST3	heparan sulfate 6-O-sulfotransferase 3	266722	https://www.ncbi.nlm.nih.gov/gene/?term=266722
GRK3	GRK3	G protein-coupled receptor kinase 3	157	https://www.ncbi.nlm.nih.gov/gene/?term=157
HOXB3	HOXB3	homeobox B3	3213	https://www.ncbi.nlm.nih.gov/gene/?term=3213
CTAG2	CTAG2	cancer/testis antigen 2	30848	https://www.ncbi.nlm.nih.gov/gene/?term=30848
OPRM1	OPRM1	opioid receptor mu 1	4988	https://www.ncbi.nlm.nih.gov/gene/?term=4988
SEMA5B	SEMA5B	semaphorin 5B	54437	https://www.ncbi.nlm.nih.gov/gene/?term=54437
EFEMP1	EFEMP1	EGF containing fibulin extracellular matrix protein 1	2202	https://www.ncbi.nlm.nih.gov/gene/?term=2202
OLFM1	OLFM1	olfactomedin 1	10439	https://www.ncbi.nlm.nih.gov/gene/?term=10439
ZNF320	ZNF320	zinc finger protein 320	162967	https://www.ncbi.nlm.nih.gov/gene/?term=162967
SEZ6L	SEZ6L	seizure related 6 homolog like	23544	https://www.ncbi.nlm.nih.gov/gene/?term=23544
RET	RET	ret proto-oncogene	5979	https://www.ncbi.nlm.nih.gov/gene/?term=5979
CAV1	CAV1	caveolin 1	857	https://www.ncbi.nlm.nih.gov/gene/?term=857
TMEM229A	TMEM229A	transmembrane protein 229A	730130	https://www.ncbi.nlm.nih.gov/gene/?term=730130
KCNJ8	KCNJ8	potassium voltage-gated channel subfamily J member 8	3764	https://www.ncbi.nlm.nih.gov/gene/?term=3764
NSG2	NSG2	neuronal vesicle trafficking associated 2	51617	https://www.ncbi.nlm.nih.gov/gene/?term=51617
C3	C3	complement C3	718	https://www.ncbi.nlm.nih.gov/gene/?term=718
DAB2	DAB2	DAB2, clathrin adaptor protein	1601	https://www.ncbi.nlm.nih.gov/gene/?term=1601
SLC18A3	SLC18A3	solute carrier family 18 member A3	6572	https://www.ncbi.nlm.nih.gov/gene/?term=6572
AR	AR	androgen receptor	367	https://www.ncbi.nlm.nih.gov/gene/?term=367
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ST8SIA3	ST8SIA3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	51046	https://www.ncbi.nlm.nih.gov/gene/?term=51046
HOXB4	HOXB4	homeobox B4	3214	https://www.ncbi.nlm.nih.gov/gene/?term=3214
ADGRE1	ADGRE1	adhesion G protein-coupled receptor E1	2015	https://www.ncbi.nlm.nih.gov/gene/?term=2015
AMIGO2	AMIGO2	adhesion molecule with Ig like domain 2	347902	https://www.ncbi.nlm.nih.gov/gene/?term=347902
CDH13	CDH13	cadherin 13	1012	https://www.ncbi.nlm.nih.gov/gene/?term=1012
F2RL2	F2RL2	coagulation factor II thrombin receptor like 2	2151	https://www.ncbi.nlm.nih.gov/gene/?term=2151
VEGFC	VEGFC	vascular endothelial growth factor C	7424	https://www.ncbi.nlm.nih.gov/gene/?term=7424
HMX1	HMX1	H6 family homeobox 1	3166	https://www.ncbi.nlm.nih.gov/gene/?term=3166
NNMT	NNMT	nicotinamide N-methyltransferase	4837	https://www.ncbi.nlm.nih.gov/gene/?term=4837
CAV2	CAV2	caveolin 2	858	https://www.ncbi.nlm.nih.gov/gene/?term=858
CD70	CD70	CD70 molecule	970	https://www.ncbi.nlm.nih.gov/gene/?term=970
SNAP91	SNAP91	synaptosome associated protein 91	9892	https://www.ncbi.nlm.nih.gov/gene/?term=9892
TH	TH	tyrosine hydroxylase	7054	https://www.ncbi.nlm.nih.gov/gene/?term=7054
HOXB2	HOXB2	homeobox B2	3212	https://www.ncbi.nlm.nih.gov/gene/?term=3212
SOX11	SOX11	SRY-box 11	6664	https://www.ncbi.nlm.nih.gov/gene/?term=6664
ZNF423	ZNF423	zinc finger protein 423	23090	https://www.ncbi.nlm.nih.gov/gene/?term=23090
ISL1	ISL1	ISL LIM homeobox 1	3670	https://www.ncbi.nlm.nih.gov/gene/?term=3670
LINC00632	LINC00632	long intergenic non-protein coding RNA 632	286411	https://www.ncbi.nlm.nih.gov/gene/?term=286411
P3H2	P3H2	prolyl 3-hydroxylase 2	55214	https://www.ncbi.nlm.nih.gov/gene/?term=55214
GABRE	GABRE	gamma-aminobutyric acid type A receptor epsilon subunit	2564	https://www.ncbi.nlm.nih.gov/gene/?term=2564
RAB3C	RAB3C	RAB3C, member RAS oncogene family	115827	https://www.ncbi.nlm.nih.gov/gene/?term=115827
TFAP2C	TFAP2C	transcription factor AP-2 gamma	7022	https://www.ncbi.nlm.nih.gov/gene/?term=7022
ANXA1	ANXA1	annexin A1	301	https://www.ncbi.nlm.nih.gov/gene/?term=301
TNFRSF11B	TNFRSF11B	TNF receptor superfamily member 11b	4982	https://www.ncbi.nlm.nih.gov/gene/?term=4982
STOX2	STOX2	storkhead box 2	56977	https://www.ncbi.nlm.nih.gov/gene/?term=56977
FEV	FEV	FEV, ETS transcription factor	54738	https://www.ncbi.nlm.nih.gov/gene/?term=54738
PRRX1	PRRX1	paired related homeobox 1	5396	https://www.ncbi.nlm.nih.gov/gene/?term=5396
XG	XG	Xg glycoprotein (Xg blood group)	7499	https://www.ncbi.nlm.nih.gov/gene/?term=7499
PASD1	PASD1	PAS domain containing repressor 1	139135	https://www.ncbi.nlm.nih.gov/gene/?term=139135
ADGRG6	ADGRG6	adhesion G protein-coupled receptor G6	57211	https://www.ncbi.nlm.nih.gov/gene/?term=57211
GALNT13	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13	114805	https://www.ncbi.nlm.nih.gov/gene/?term=114805
PRIMA1	PRIMA1	proline rich membrane anchor 1	145270	https://www.ncbi.nlm.nih.gov/gene/?term=145270
MAGEA1	MAGEA1	MAGE family member A1	4100	https://www.ncbi.nlm.nih.gov/gene/?term=4100
CRIM1	CRIM1	cysteine rich transmembrane BMP regulator 1	51232	https://www.ncbi.nlm.nih.gov/gene/?term=51232
TSPAN7	TSPAN7	tetraspanin 7	7102	https://www.ncbi.nlm.nih.gov/gene/?term=7102
KCNT2	KCNT2	potassium sodium-activated channel subfamily T member 2	343450	https://www.ncbi.nlm.nih.gov/gene/?term=343450
FXYD6	FXYD6	FXYD domain containing ion transport regulator 6	53826	https://www.ncbi.nlm.nih.gov/gene/?term=53826
APOL1	APOL1	apolipoprotein L1	8542	https://www.ncbi.nlm.nih.gov/gene/?term=8542
MIR222HG	MIR222HG	miR222/221 cluster host gene	104457406	https://www.ncbi.nlm.nih.gov/gene/?term=104457406
CNTFR	CNTFR	ciliary neurotrophic factor receptor	1271	https://www.ncbi.nlm.nih.gov/gene/?term=1271
LATS2	LATS2	large tumor suppressor kinase 2	26524	https://www.ncbi.nlm.nih.gov/gene/?term=26524
PCSK1N	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor	27344	https://www.ncbi.nlm.nih.gov/gene/?term=27344
CD109	CD109	CD109 molecule	135228	https://www.ncbi.nlm.nih.gov/gene/?term=135228
EYA4	EYA4	EYA transcriptional coactivator and phosphatase 4	2070	https://www.ncbi.nlm.nih.gov/gene/?term=2070
ACTL6B	ACTL6B	actin like 6B	51412	https://www.ncbi.nlm.nih.gov/gene/?term=51412
CRABP1	CRABP1	cellular retinoic acid binding protein 1	1381	https://www.ncbi.nlm.nih.gov/gene/?term=1381
CPXM1	CPXM1	carboxypeptidase X, M14 family member 1	56265	https://www.ncbi.nlm.nih.gov/gene/?term=56265
PADI3	PADI3	peptidyl arginine deiminase 3	51702	https://www.ncbi.nlm.nih.gov/gene/?term=51702
ELAVL3	ELAVL3	ELAV like RNA binding protein 3	1995	https://www.ncbi.nlm.nih.gov/gene/?term=1995
PAGE2	PAGE2	PAGE family member 2	203569	https://www.ncbi.nlm.nih.gov/gene/?term=203569
HMCN1	HMCN1	hemicentin 1	83872	https://www.ncbi.nlm.nih.gov/gene/?term=83872
FLRT2	FLRT2	fibronectin leucine rich transmembrane protein 2	23768	https://www.ncbi.nlm.nih.gov/gene/?term=23768
NRSN1	NRSN1	neurensin 1	140767	https://www.ncbi.nlm.nih.gov/gene/?term=140767
FEZF1-AS1	FEZF1-AS1	FEZF1 antisense RNA 1	154860	https://www.ncbi.nlm.nih.gov/gene/?term=154860
MSN	MSN	moesin	4478	https://www.ncbi.nlm.nih.gov/gene/?term=4478
LINC00682	LINC00682	long intergenic non-protein coding RNA 682	101927074	https://www.ncbi.nlm.nih.gov/gene/?term=101927074
RBP1	RBP1	retinol binding protein 1	5947	https://www.ncbi.nlm.nih.gov/gene/?term=5947
CSF2RA	CSF2RA	colony stimulating factor 2 receptor alpha subunit	1438	https://www.ncbi.nlm.nih.gov/gene/?term=1438
CHST8	CHST8	carbohydrate sulfotransferase 8	64377	https://www.ncbi.nlm.nih.gov/gene/?term=64377
CADM2	CADM2	cell adhesion molecule 2	253559	https://www.ncbi.nlm.nih.gov/gene/?term=253559
SH3RF2	SH3RF2	SH3 domain containing ring finger 2	153769	https://www.ncbi.nlm.nih.gov/gene/?term=153769
DACH1	DACH1	dachshund family transcription factor 1	1602	https://www.ncbi.nlm.nih.gov/gene/?term=1602
VCAM1	VCAM1	vascular cell adhesion molecule 1	7412	https://www.ncbi.nlm.nih.gov/gene/?term=7412
CTNNA2	CTNNA2	catenin alpha 2	1496	https://www.ncbi.nlm.nih.gov/gene/?term=1496
LINC01029	LINC01029	long intergenic non-protein coding RNA 1029	101927715	https://www.ncbi.nlm.nih.gov/gene/?term=101927715
LRRC61	LRRC61	leucine rich repeat containing 61	65999	https://www.ncbi.nlm.nih.gov/gene/?term=65999
KCNK3	KCNK3	potassium two pore domain channel subfamily K member 3	3777	https://www.ncbi.nlm.nih.gov/gene/?term=3777
HS3ST2	HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2	9956	https://www.ncbi.nlm.nih.gov/gene/?term=9956
PGBD5	PGBD5	piggyBac transposable element derived 5	79605	https://www.ncbi.nlm.nih.gov/gene/?term=79605
TMEM200A	TMEM200A	transmembrane protein 200A	114801	https://www.ncbi.nlm.nih.gov/gene/?term=114801
CPA4	CPA4	carboxypeptidase A4	51200	https://www.ncbi.nlm.nih.gov/gene/?term=51200
RIMS4	RIMS4	regulating synaptic membrane exocytosis 4	140730	https://www.ncbi.nlm.nih.gov/gene/?term=140730
NCAM2	NCAM2	neural cell adhesion molecule 2	4685	https://www.ncbi.nlm.nih.gov/gene/?term=4685
MLPH	MLPH	melanophilin	79083	https://www.ncbi.nlm.nih.gov/gene/?term=79083
GPR27	GPR27	G protein-coupled receptor 27	2850	https://www.ncbi.nlm.nih.gov/gene/?term=2850
GATA3-AS1	GATA3-AS1	GATA3 antisense RNA 1	399717	https://www.ncbi.nlm.nih.gov/gene/?term=399717
UBE2QL1	UBE2QL1	ubiquitin conjugating enzyme E2 Q family like 1	134111	https://www.ncbi.nlm.nih.gov/gene/?term=134111
SLC6A15	SLC6A15	solute carrier family 6 member 15	55117	https://www.ncbi.nlm.nih.gov/gene/?term=55117
PLPPR5	PLPPR5	phospholipid phosphatase related 5	163404	https://www.ncbi.nlm.nih.gov/gene/?term=163404
SPSB4	SPSB4	splA/ryanodine receptor domain and SOCS box containing 4	92369	https://www.ncbi.nlm.nih.gov/gene/?term=92369
INSRR	INSRR	insulin receptor related receptor	3645	https://www.ncbi.nlm.nih.gov/gene/?term=3645
PRRT4	PRRT4	proline rich transmembrane protein 4	401399	https://www.ncbi.nlm.nih.gov/gene/?term=401399
SHD	SHD	Src homology 2 domain containing transforming protein D	56961	https://www.ncbi.nlm.nih.gov/gene/?term=56961
SRGN	SRGN	serglycin	5552	https://www.ncbi.nlm.nih.gov/gene/?term=5552
CNTN4	CNTN4	contactin 4	152330	https://www.ncbi.nlm.nih.gov/gene/?term=152330
LAMB3	LAMB3	laminin subunit beta 3	3914	https://www.ncbi.nlm.nih.gov/gene/?term=3914
CDKN2A	CDKN2A	cyclin dependent kinase inhibitor 2A	1029	https://www.ncbi.nlm.nih.gov/gene/?term=1029
IGFN1	IGFN1	immunoglobulin-like and fibronectin type III domain containing 1	91156	https://www.ncbi.nlm.nih.gov/gene/?term=91156
GRIK2	GRIK2	glutamate ionotropic receptor kainate type subunit 2	2898	https://www.ncbi.nlm.nih.gov/gene/?term=2898
IGF2BP2	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	10644	https://www.ncbi.nlm.nih.gov/gene/?term=10644
MSC	MSC	musculin	9242	https://www.ncbi.nlm.nih.gov/gene/?term=9242
CNNM1	CNNM1	cyclin and CBS domain divalent metal cation transport mediator 1	26507	https://www.ncbi.nlm.nih.gov/gene/?term=26507
HS6ST2	HS6ST2	heparan sulfate 6-O-sulfotransferase 2	90161	https://www.ncbi.nlm.nih.gov/gene/?term=90161
ARHGEF5	ARHGEF5	Rho guanine nucleotide exchange factor 5	7984	https://www.ncbi.nlm.nih.gov/gene/?term=7984
ROBO2	ROBO2	roundabout guidance receptor 2	6092	https://www.ncbi.nlm.nih.gov/gene/?term=6092
NPY2R	NPY2R	neuropeptide Y receptor Y2	4887	https://www.ncbi.nlm.nih.gov/gene/?term=4887
