geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0000790	nuclear chromatin	http://amigo.geneontology.org/amigo/term/GO:0000790	117	117	117	1	1	1	367;401;860;864;1025;1385;1788;1869;2099;2146;2241;2625;3066;3149;3622;3659;4088;4149;4209;4582;4654;4678;4773;5074;5080;5457;5888;5914;5928;5931;6015;6591;6597;6598;6601;6602;6604;6772;6774;6778;6862;6874;6925;6932;6938;7068;7227;7290;7515;7703;8193;8204;8289;8295;8320;8805;8846;8928;8929;8932;9112;9314;9464;9572;9839;9971;10042;10062;10111;10361;10365;10370;10661;10891;11177;23028;23126;23468;23492;23558;25836;25946;26012;26038;26039;27022;27316;29998;51341;51412;51547;51773;54108;54345;54815;57332;57459;57492;57504;57658;57673;58516;65980;79913;80816;81611;83444;83881;84312;85456;85508;90993;125476;138151;140628;150678;388610	NRIP1;PHOX2A;PHOX2B;AR;ACTL6B;PAWR;SCRT2;RUNX2;KLF4;CREB3L1;PPARGC1A;ASXL3;SOX18;GATA3;EOMES;POU4F1;GATA5;TBXT;MYOD1;FOXD3;TCF7;PAX6;KLF2;CITED2;STAT6;NR1H4;SNAI2;KLF1;NR1H3;CBX7;THRB;SMAD3;NFATC2;HAND2;DPF1;CHD5;RUNX3;NACC2;MUC1;DNMT3A;SINHCAF;TRNP1;TRPS1;MIXL1;E2F1;NPM2;TCF4;ACTR5;NR1D1;FOXH1;NSMF;RARA;ZBTB7A;SMARCD3;ESR1;BEND3;SMARCD1;BRMS1L;TCF12;HMGB3;CBX5;TNKS1BP1;STAT1;RING1;MEF2D;STAT3;ZNF385A;RAD51;ARID1A;RBBP4;ZEB2;SMARCB1;IRF1;BRD9;ANP32E;INO80B;INO80C;RBMX;NASP;CREB1;MTA3;COPS9;RBBP7;CALCOCO1;HDAC2;SMARCA4;KDM1A;CBX8;NIPBL;BICRA;MTA1;TAF4;ING2;SS18L1;WBP2;GATAD2A;EZH2;ALKBH1;MBD2;CHRAC1;HIRA;BAZ1A;SIRT7;TRIM24;CDK9;GATAD2B;FER;ARID1B;RAD50;POGZ;HMGXB4;XRCC1;MAX;RSF1;PCGF2;SMARCC2;TRRAP
GO:0000151	ubiquitin ligase complex	http://amigo.geneontology.org/amigo/term/GO:0000151	106	106	106	1	1	1	1027;1161;1163;1642;1643;1911;4008;5071;6015;6502;6737;6923;7322;7703;8445;8450;8453;8517;8881;9443;9616;9681;9781;9820;9903;10016;10238;10277;10324;10336;10444;10616;11059;23032;23194;23304;23492;25847;25879;26231;26232;26233;26234;26235;26267;26269;26270;26272;26994;27252;29945;51434;51619;51646;54165;54467;54850;54880;54994;55031;55070;55101;55208;55336;55827;57332;57542;59349;64410;64422;64750;64795;65018;79016;79176;79184;80012;80176;80232;81858;84246;84333;84541;84727;84733;90025;90268;90293;90379;90390;92369;93611;114907;118424;119504;123879;126433;127544;130507;142689;196394;222235;246184;255488;440590;554251	SPSB4;ZYG11A;FBXO32;BCOR;LMO7;CBX7;FBXO6;KBTBD8;KLHL13;RNF144A;FBXL13;PRKN;SPSB1;RNF144B;CUL7;TRIM21;UBE2D4;FBXO8;CUL4B;PINK1;FBXO27;FBXO10;DDB2;FBXL8;LRRC29;PDCD6;FBXO2;DCAF7;FBXO4;ERCC8;ASB12;KLHL41;PCGF5;DCAF6;UBE3D;DET1;CBX2;KLHL25;RMND5A;SHARPIN;CKS1B;RING1;FBXL15;WWP1;KLHL42;DMAC2;PHC3;KLHL21;SPSB2;DCUN1D2;SKP2;RNF19B;RBCK1;FBXO48;IKBKG;SMURF2;FBXO44;ELOB;MED10;FBXL7;CBX8;DYRK2;MED30;OTULIN;UBR2;YPEL5;WDR26;ANAPC13;DCAF13;CDKN1B;GID8;AMN1;ANAPC7;CDC16;ANAPC16;FBXL6;FBXL4;FBXL12;DDB1;ZER1;DCAF15;DDA1;FBXL5;KLHL12;BRCC3;PHC1;RNF11;DEPDC5;RNF7;CDC26;DCUN1D3;UBR3;USP33;UBE2D2;PCGF3;ATG3;USP47;UBE2J2;ANKIB1;MED7;ANAPC4;KLHL20;CUL2;DCUN1D1;PCGF2;UBE4B
GO:0000793	condensed chromosome	http://amigo.geneontology.org/amigo/term/GO:0000793	61	61	61	1	1	1	120;641;1111;2103;3297;3306;4438;4999;5810;5883;5885;5888;5905;6795;6853;6990;7329;8379;8940;9126;9793;9985;10111;10128;10609;10735;22920;23122;23421;25936;26039;27030;27127;54984;55320;56155;56160;57820;64105;65083;79003;79172;79677;79682;80152;81565;81929;84516;89765;91272;119504;171483;171484;201161;221711;253635;284058;317761;642636;644186;100130958	DYNLT3;SYN1;RSPH1;HSPA2;C14orf39;FAM9C;RAD21L1;MAD1L1;MLH3;ESRRB;SYCE1L;SMC1B;FAM9B;REC8;PINX1;MSH4;NDEL1;AURKC;TOP3B;CCNB1IP1;CENPV;SYCE3;SYCP2L;RAD1;CLASP2;TEX14;CENPU;BLM;NOL6;NSL1;UBE2I;RAD51;P3H4;LRPPRC;RANGAP1;NSMCE3;RAD9A;MIS18BP1;ADD3;HSF1;RAD21;CENPK;GPATCH11;SEH1L;CENPO;KANSL1;BOD1;SS18L1;ITGB3BP;ANAPC16;CENPT;CKAP5;CHEK1;ORC2;MIS12;DCTN5;RAD50;STAG2;SMC3;KIFAP3;SMC6
GO:0000118	histone deacetylase complex	http://amigo.geneontology.org/amigo/term/GO:0000118	22	22	22	1	1	1	473;3066;3622;5928;5931;7764;8204;8932;9112;9734;9759;23314;23468;26038;51341;54815;57459;57504;58516;79885;83933;84312	NRIP1;SATB2;HDAC9;CHD5;SINHCAF;ZNF217;ZBTB7A;HDAC10;BRMS1L;CBX5;HDAC11;RBBP4;MTA3;HDAC4;RBBP7;HDAC2;MTA1;ING2;GATAD2A;MBD2;GATAD2B;RERE
GO:0000792	heterochromatin	http://amigo.geneontology.org/amigo/term/GO:0000792	21	21	21	1	1	1	1029;1788;3070;3297;4999;5371;6015;7317;7703;8091;8932;23076;23468;26038;29997;55693;56916;57332;57673;84733;85456	HMGA2;CDKN2A;CHD5;DNMT3A;PML;BEND3;UBA1;CBX2;CBX5;TNKS1BP1;RING1;RRP1B;HSF1;HELLS;CBX8;KDM4D;NOP53;SMARCAD1;MBD2;ORC2;PCGF2
GO:0000791	euchromatin	http://amigo.geneontology.org/amigo/term/GO:0000791	15	15	15	1	1	1	1385;1788;3297;6932;8805;8846;9314;9971;10891;23076;26012;26287;27316;84733;388610	KLF4;PPARGC1A;TCF7;NR1H4;ANKRD2;DNMT3A;TRNP1;NSMF;CBX2;RRP1B;RBMX;CREB1;HSF1;ALKBH1;TRIM24
GO:0001772	immunological synapse	http://amigo.geneontology.org/amigo/term/GO:0001772	15	15	15	1	1	1	214;399;951;963;975;3383;3958;4627;5795;8417;9306;10015;11151;199920;388325	FYB2;ICAM1;LGALS3;RHOH;PTPRJ;MYH9;CD37;CD53;CORO1A;CD81;SOCS6;ALCAM;SCIMP;STX7;PDCD6IP
GO:0000407	phagophore assembly site	http://amigo.geneontology.org/amigo/term/GO:0000407	14	14	14	1	1	1	8678;8878;9474;9706;9776;10533;22863;22878;23130;25989;53349;55062;81671;285973	ULK2;ATG9B;WIPI1;VMP1;ULK3;SQSTM1;ATG7;ATG2A;ZFYVE1;ATG14;ATG13;ATG5;BECN1;TRAPPC8
GO:0000803	sex chromosome	http://amigo.geneontology.org/amigo/term/GO:0000803	8	8	8	1	1	1	329;1788;6015;7703;10336;23347;79677;84333	DNMT3A;PCGF5;SMCHD1;RING1;BIRC2;PCGF3;PCGF2;SMC6
GO:0001533	cornified envelope	http://amigo.geneontology.org/amigo/term/GO:0001533	7	7	7	1	1	1	301;1475;5318;5493;7051;8502;11187	ANXA1;PKP3;CSTA;PPL;TGM1;PKP2;PKP4
