geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa00010	Glycolysis / Gluconeogenesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00010+160287+2026+218+220+2203+221+223+224+230+3101+3945+5106+5211+5213+5214+55276+55902+80201+84532+8789	20	20	20	1	1	1	160287;2026;218;220;2203;221;223;224;230;3101;3945;5106;5211;5213;5214;55276;55902;80201;84532;8789	FBP1;HKDC1;ALDOC;ALDH3A1;ALDH1A3;ACSS1;FBP2;ALDH3B1;HK3;PCK2;LDHAL6A;PFKL;LDHB;PFKP;ACSS2;ENO2;ALDH9A1;PGM2;ALDH3A2;PFKM
hsa00051	Fructose and mannose metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00051+2203+230+231+2762+3101+3795+5207+5208+5209+5210+5211+5213+5214+5372+57016+57103+6652+80201+8789+8790	20	20	20	1	1	1	2203;230;231;2762;3101;3795;5207;5208;5209;5210;5211;5213;5214;5372;57016;57103;6652;80201;8789;8790	AKR1B10;FBP1;HKDC1;ALDOC;PFKFB3;FBP2;HK3;PFKFB1;TIGAR;GMDS;AKR1B1;PFKL;SORD;PFKP;PFKFB2;PFKFB4;PMM1;KHK;PFKM;FPGT
hsa00071	Fatty acid degradation	http://www.kegg.jp/kegg-bin/show_pathway?hsa00071+2180+2181+2182+223+224+23305+2639+3030+3033+33+34+37+38+39+51+51703+8310	17	17	17	1	1	1	2180;2181;2182;223;224;23305;2639;3030;3033;33;34;37;38;39;51;51703;8310	ACSL6;ACADL;ACADVL;ACSL4;GCDH;ACSL1;ACOX3;ACAT2;ACSL5;ACOX1;HADHA;ACAT1;ALDH9A1;ALDH3A2;ACADM;ACSL3;HADH
hsa00052	Galactose metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00052+231+2548+2582+2584+2683+2720+3101+5211+5213+5214+55276+57016+7360+80201+8704	15	15	15	1	1	1	231;2548;2582;2584;2683;2720;3101;5211;5213;5214;55276;57016;7360;80201;8704	AKR1B10;HKDC1;B4GALT1;UGP2;GAA;HK3;GLB1;AKR1B1;GALE;PFKL;PFKP;GALK1;PGM2;PFKM;B4GALT2
hsa00062	Fatty acid elongation	http://www.kegg.jp/kegg-bin/show_pathway?hsa00062+11332+117145+122970+3030+3033+51102+51104+51144+58489+64834+79071+79993+83401+9374	14	14	14	1	1	1	11332;117145;122970;3030;3033;51102;51104;51144;58489;64834;79071;79993;83401;9374	ELOVL3;ACOT4;ABHD17C;THEM4;ELOVL7;PPT2;HADHA;HSD17B12;ELOVL1;ACOT7;HADH;ELOVL6;ABHD17B;MECR
hsa00030	Pentose phosphate pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa00030+2203+230+2539+5211+5213+5214+55276+64080+6888+7086+8789+9563	12	12	12	1	1	1	2203;230;2539;5211;5213;5214;55276;64080;6888;7086;8789;9563	FBP1;ALDOC;H6PD;TKT;FBP2;G6PD;PFKL;PFKP;RBKS;TALDO1;PGM2;PFKM
hsa00020	Citrate cycle (TCA cycle)	http://www.kegg.jp/kegg-bin/show_pathway?hsa00020+1431+3418+3420+48+4967+5106+55753+6392+8801+8802	10	10	10	1	1	1	1431;3418;3420;48;4967;5106;55753;6392;8801;8802	OGDHL;ACO1;PCK2;IDH2;SUCLG2;CS;SDHD;OGDH;IDH3B;SUCLG1
hsa00040	Pentose and glucuronate interconversions	http://www.kegg.jp/kegg-bin/show_pathway?hsa00040+231+51084+51181+57016+6652+729920+7360+7366+9365	9	9	9	1	1	1	231;51084;51181;57016;6652;729920;7360;7366;9365	AKR1B10;KL;UGT2B15;CRYL1;UGP2;CRPPA;AKR1B1;SORD;DCXR
hsa00072	Synthesis and degradation of ketone bodies	http://www.kegg.jp/kegg-bin/show_pathway?hsa00072+3155+3157+38+39+54511+622+64064	7	7	7	1	1	1	3155;3157;38;39;54511;622;64064	HMGCLL1;OXCT2;BDH1;HMGCS1;HMGCL;ACAT2;ACAT1
hsa00061	Fatty acid biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00061+2180+2181+2182+2194+23305+51703	6	6	6	1	1	1	2180;2181;2182;2194;23305;51703	ACSL6;FASN;ACSL4;ACSL1;ACSL5;ACSL3
