pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,2.28969989858661e-11,1.48464141424356e-07,0.863415391606693,0.872561994508867,2.26328133362502,44,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RPL27 RPS21 UBA52 RPL41 RPL36 SSR2 RPS12 RPS28
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,7.87130372792355e-11,2.55187666859281e-07,0.839088935621274,0.86268359075265,2.24362860841717,46,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RPL27 RPS21 UBA52 RPL41 RPL36 RPS12 RPS28
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,1.50342528685896e-10,3.24940318666451e-07,0.826657301178302,0.859279725324088,2.2347759885962,46,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RPL27 RPS21 UBA52 RPL41 RPL36 RPS12 RPS28
GO_VIRAL_GENE_EXPRESSION,2.06958400134464e-10,3.35479566617967e-07,0.826657301178302,0.82547283416202,2.1627488268785,60,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RPL27 RPS21 UBA52 SMARCA4 RPL41 RPL36 RPS12 RPS28
GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,6.01562457157177e-06,0.00195026548610357,0.610526878385931,0.887103565035065,2.15886618537056,19,MT-CO3 MT-ND5 MT-ND6
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,6.69492565712801e-10,8.6819795921636e-07,0.801215574617779,0.823983192407459,2.1563704690833,58,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 PDIA2 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RTN4 RPL27 RPS21 UBA52 RPL41 RPL36 RPS12 RPS28 KDELR2 GPAA1 SRPRA KDELR1
GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,5.92773048306892e-05,0.0137269301615068,0.557332238758646,0.903258761240518,2.14422135443041,16,MT-CO3 MT-ND5 MT-ND6
GO_PROTEIN_TARGETING_TO_MEMBRANE,1.28190108100556e-09,1.18740665846287e-06,0.788186810800237,0.820150380522815,2.14399924951128,57,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RPL27 RPS21 UBA52 RPL41 RPL36 SSR2 RPS12 RPS28
GO_TRANSLATIONAL_INITIATION,1.15450891327168e-09,1.18740665846287e-06,0.788186810800237,0.817874670758134,2.14284154670148,60,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RPL27 RPS21 UBA52 RPL41 EIF4A2 RPL36 RPS12 RPS28 EIF2S3 HSPB1
GO_OXIDATIVE_PHOSPHORYLATION,9.95668039239822e-05,0.0208255211820355,0.538434096309916,0.849546733704789,2.12555625971394,24,MT-CO3 MT-ND5 MT-ND6
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,1.96639603081597e-09,1.59376398297635e-06,0.774939030136436,0.807863874421246,2.12321394252831,62,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RPL27 RPS21 UBA52 RPL41 RPL36 RPS12 RPS28
