pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO_CYTOSOLIC_RIBOSOME,4.15539502677166e-11,1.77019828140473e-08,0.851339057116899,0.870512054337964,2.22609447602045,45,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RACK1 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RPL27 RPS21 UBA52 RPL41 RPL36 RPS12 RPS28
GO_RIBOSOMAL_SUBUNIT,3.37440934111466e-11,1.77019828140473e-08,0.851339057116899,0.8493271540355,2.19310150953981,53,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RACK1 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RPL27 RPS21 UBA52 RPL41 RPL36 RPS12 RPS28
GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,3.59038910570064e-05,0.00299280018242188,0.557332238758646,0.884353981293336,2.1317448082109,20,RPLP0 RPL10 RPL7A RPL6 RPL19 RPL18A RPL18 RPL5 RPL37A RPL23 RPL35 RPL10A RPL27 UBA52 RPL41 RPL36
GO_RESPIRASOME,9.52496917649643e-06,0.00115932481976785,0.593325476396405,0.894757308424717,2.12649456670017,18,MT-CO3 MT-ND5 MT-ND6
GO_RIBOSOME,7.08398662359652e-10,2.01185220110141e-07,0.801215574617779,0.819280164232811,2.12551535972727,60,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RACK1 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS14 RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 GCN1 RPL27 RPS21 UBA52 RPL41 RPL36 RPS12 RPS28 RRBP1
GO_RESPIRATORY_CHAIN_COMPLEX,1.09528078402801e-05,0.00116647403498983,0.593325476396405,0.919494849543917,2.12504227182484,14,MT-CO3 MT-ND5 NDUFS2
GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,2.24698460704295e-05,0.00212714542800066,0.575610261071129,0.86085167260155,2.12502330845489,25,RPS2 RPS3 RPS18 RACK1 RPS5 RPS8 RPS7 RPS19 RPS16 RPS3A RPS14 RPS25 RPS24 RPS15 RPS21 UBA52 RPS12 RPS28
GO_SMALL_RIBOSOMAL_SUBUNIT,3.86394389749303e-05,0.00299280018242188,0.557332238758646,0.843562768654248,2.09463862511551,29,RPS2 RPS3 RPS18 RACK1 RPS5 RPS8 RPS7 RPS19 RPS16 RPS3A RPS14 RPS25 RPS24 RPS15 RPS21 UBA52 RPS12 RPS28
GO_LARGE_RIBOSOMAL_SUBUNIT,0.000156559545855572,0.0102606717745344,0.518848077743792,0.849196145178823,2.09290133967894,26,RPLP0 RPL10 RPL7A RPL6 RPL19 RPL18A RPL18 RPL5 RPL37A RPL23 RPL35 RPL10A RPL27 UBA52 RPL41 RPL36
GO_COLLAGEN_TRIMER,0.00271327924188816,0.100509300612553,0.431707695803346,0.866368374589219,1.98349509251654,13,COL1A1 EMILIN1 COL6A2 COL6A1 COL6A3 COL18A1 COL5A1
GO_CYTOCHROME_COMPLEX,0.00062436854262504,0.0279979999113965,0.477270815362862,0.929708861414239,1.98284363986782,8,MT-CO3 CYC1
GO_RESPIRATORY_CHAIN_COMPLEX_IV,0.000447037315085854,0.0238047370283218,0.49849310876659,0.955641089172857,1.92491222417246,6,MT-CO3 NDUFA4
GO_POLYSOME,0.00418989310643424,0.137299574103153,0.407017918923954,0.785880063758568,1.92214663858359,23,RPS3 RPL7A VIM RPL6 RPL19 RPL18A RPL18 RPL10A GCN1 RPS21 RPL41 RPL36 RPS28
GO_POLYSOMAL_RIBOSOME,0.0022902436744819,0.0886948913935717,0.431707695803346,0.824789535232184,1.9061690542329,14,RPL7A RPL6 RPL19 RPL18A RPL18 RPL10A RPS21 RPL41 RPL36 RPS28
