pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,4.58362385683861e-11,8.02134174946756e-09,0.851339057116899,0.889335291536958,2.27364785905408,38,RPS2 RPLP0 RPS3 RPL10 RPL7A RPS18 RPL6 RPS5 RPS8 RPS7 RPS19 RPL19 RPS16 RPL18A RPL18 RPL5 RPL37A RPS3A RPS25 RPL23 RPL35 RPS24 RPL10A RPS15 RPL27 RPS21 UBA52 RPL41 RPL36 RPS12 RPS28
KEGG_OXIDATIVE_PHOSPHORYLATION,4.06994135420641e-05,0.00356119868493061,0.557332238758646,0.841779693239725,2.09452753445883,28,MT-CO3 MT-ND5 MT-ND6
KEGG_PARKINSONS_DISEASE,0.00279263555904722,0.116227299702391,0.431707695803346,0.80987860457263,2.00089735244424,26,MT-CO3 MT-ND5 MT-ND6 UCHL1 UBA1
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.00843658163928873,0.184550223359441,0.380730400722792,0.849090706408789,1.98026488479192,14,MT-CO3 ATP1B1 CACNG4 CACNA2D2
KEGG_ECM_RECEPTOR_INTERACTION,0.00332077999149689,0.116227299702391,0.431707695803346,0.780974012893271,1.94323002424331,28,COL1A1 FN1 LAMB1 ITGA3 LAMC1 COL6A2 COL6A1 ITGB1 AGRN COL6A3 COL5A1 CD44 LAMB2 RELN
KEGG_ALZHEIMERS_DISEASE,0.00682454520499788,0.170613630124947,0.407017918923954,0.752286668995895,1.90676131720044,34,MT-CO3 MME CALM2 LRP1
KEGG_FOCAL_ADHESION,0.00253438170945597,0.116227299702391,0.431707695803346,0.693799078041363,1.80527208569403,57,COL1A1 ACTG1 FN1 FLNA LAMB1 ITGA3 LAMC1 COL6A2 COL6A1 ITGB1 COL6A3 ACTN4 TLN1 COL5A1 LAMB2 RELN CCND1 VEGFA
KEGG_HUNTINGTONS_DISEASE,0.0179092022181906,0.241085414475643,0.352487857583619,0.697722389305732,1.76981202581916,35,MT-CO3 CLTC
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.0149440258737574,0.241085414475643,0.380730400722792,0.781124044639541,1.76520643945333,11,ACTG1 TUBA1A ITGB1 YWHAQ CTTN
KEGG_SMALL_CELL_LUNG_CANCER,0.00442534420282882,0.129072539249174,0.407017918923954,0.702456301874319,1.72616181705004,22,FN1 LAMB1 ITGA3 LAMC1 ITGB1 LAMB2 CCND1
KEGG_DILATED_CARDIOMYOPATHY,0.00974010733363748,0.18939097593184,0.380730400722792,0.7158418532917,1.71457309509437,17,ACTG1 GNAS ITGA3 ITGB1 LMNA CACNG4 ITGA5 CACNA2D2 TPM1 DAG1
KEGG_SPHINGOLIPID_METABOLISM,0.0173258336627995,0.241085414475643,0.352487857583619,-0.594282848545637,-1.66627605244609,6,UGCG ARSA SGPL1 GBA SMPD1 GLB1
KEGG_TASTE_TRANSDUCTION,0.0169571436446679,0.241085414475643,0.352487857583619,0.946946946946947,1.49886189712898,2,GNAS GNB1
