gene_symbol	Ensembl_ID	length	R20230019_08_EKRN230075585-1A_22HFFNLT3_L4	R20230019_13_EKRN230075590-1A_22HFFNLT3_L4	R20230019_01_EKRN230075578-1A_22HFFNLT3_L3	R20230019_09_EKRN230075586-1A_22HFFNLT3_L4	R20230019_02_EKRN230075579-1A_222JL7LT4_L2	R20230019_03_EKRN230075580-1A_22HFFNLT3_L3	R20230019_16_EKRN230075593-1A_222JL7LT4_L2	R20230019_04_EKRN230075581-1A_222T7MLT4_L1	R20230019_07_EKRN230075584-1A_22HFFNLT3_L4	R20230019_11_EKRN230075588-1A_22HFFNLT3_L4	R20230019_10_EKRN230075587-1A_22HFFNLT3_L4	R20230019_05_EKRN230075582-1A_22HFFNLT3_L3	R20230019_14_EKRN230075591-1A_22HFFNLT3_L4	R20230019_15_EKRN230075592-1A_222JL7LT4_L2	R20230019_06_EKRN230075583-1A_22HFFNLT3_L4	R20230019_12_EKRN230075589-1A_22HFFNLT3_L4
TNFRSF4	ENSG00000186827	1722	64	14	3	0	5	1	32	0	6	7	2	7	52	35	38	0
TNFRSF18	ENSG00000186891	1271	4496	3408	0	0	0	0	2851	2	3253	0	1	2500	3717	2745	4211	6
ATAD3B	ENSG00000160072	7686	2623	2228	1170	2681	1150	821	1440	576	3603	2125	2487	1870	2071	2059	3012	2648
	ENSG00000260179	1558	38	22	23	6	9	12	4	5	11	3	11	7	17	7	23	15
	ENSG00000234396	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P23	ENSG00000225972	372	4	10	24	6	12	9	1	2	24	11	6	12	1	4	25	7
RPL7P7	ENSG00000224315	703	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0
MTCO3P12	ENSG00000198744	547	31	10	2	29	11	13	18	5	20	3	15	3	22	17	17	20
DDX11L17	ENSG00000279928	570	6	0	0	0	0	0	0	0	0	13	3	1	0	1	5	5
	ENSG00000228037	626	4	9	1	4	7	1	8	1	9	5	0	6	1	5	17	0
PRDM16	ENSG00000142611	9767	0	37	3	0	0	3	0	3	6	0	0	1	0	0	76	0
MTND2P28	ENSG00000225630	1044	664	309	213	307	171	137	242	39	317	179	355	322	310	387	434	304
ACAP3	ENSG00000131584	8707	7540	5082	2019	2608	2369	1199	4309	1083	7975	2453	2388	4370	6115	6054	6514	2679
