gene_symbol	Ensembl_ID	length	R20240016_C2_EKRN240009374-1A_223MF3LT4_L7	R20240016_C1_EKRN240009373-1A_22375FLT4_L6	R20240016_J2_EKRN240009376-1A_22375FLT4_L6	R240016_J4_1_EKRN240015053-1A_223L3FLT4_L7	R240016_C4_1_EKRN240015051-1A_223L3FLT4_L2	R240016_J3_1_EKRN240015052-1A_223L3FLT4_L6	R20240016_J1_EKRN240009375-1A_22375FLT4_L6	R240016_C3_1_EKRN240015050-1A_223L3FLT4_L4
TNFRSF4	ENSG00000186827	1722	1	1	0	0	1	4	2	5
TNFRSF18	ENSG00000186891	1271	0	1	0	1	0	0	0	2
ATAD3B	ENSG00000160072	7686	2236	2649	2856	1486	2448	3088	2304	3597
	ENSG00000260179	1558	10	9	17	6	10	18	13	14
	ENSG00000234396	326	3	0	14	3	3	2	5	2
MTND1P23	ENSG00000225972	372	327	7	8	16	12	2	11	17
RPL7P7	ENSG00000224315	703	1	2	0	0	0	0	0	0
MTCO3P12	ENSG00000198744	547	13	17	20	14	7	29	17	24
DDX11L17	ENSG00000279928	570	1	1	4	2	1	5	5	3
	ENSG00000228037	626	2	0	3	0	1	3	2	0
PRDM16	ENSG00000142611	9767	0	0	0	0	2	0	0	0
MTND2P28	ENSG00000225630	1044	875	568	1201	199	536	494	531	599
ACAP3	ENSG00000131584	8707	4231	4352	8189	3907	4455	8595	7231	6455
TP73-AS3	ENSG00000227589	754	2	3	3	0	1	0	2	3
CAMTA1-IT1	ENSG00000237402	365	2	2	0	1	3	0	0	2
	ENSG00000284616	1225	0	0	0	0	0	0	0	0
PUSL1	ENSG00000169972	2459	277	396	379	199	276	441	351	359
PEX10	ENSG00000157911	3782	320	413	602	314	329	665	600	528
	ENSG00000269896	2407	99	94	265	146	101	264	204	148
MTCO1P12	ENSG00000237973	1543	1223	947	1457	749	1208	1357	1183	1310
CPTP	ENSG00000224051	2555	539	739	891	440	596	875	796	861
	ENSG00000228463	8224	15	9	37	20	21	40	15	31
	ENSG00000260972	1697	0	0	0	0	0	0	0	0
SKI	ENSG00000157933	6550	3607	3189	6814	3661	3087	6780	6444	4788
MEGF6	ENSG00000162591	9021	401	348	330	227	485	414	281	791
	ENSG00000224340	337	1	0	0	0	0	3	0	0
	ENSG00000270035	570	19	7	16	19	13	30	13	13
TAS1R3	ENSG00000169962	3475	28	28	63	22	29	82	56	66
	ENSG00000226545	415	0	4	0	0	0	0	0	0
CICP7	ENSG00000233653	2477	0	0	2	0	0	0	0	3
WBP1LP6	ENSG00000268663	424	0	0	0	0	0	0	1	0
LINC01345	ENSG00000226374	2168	0	0	0	0	0	1	0	0
ERRFI1	ENSG00000116285	4179	461	445	1069	669	495	1048	979	675
EEF1DP6	ENSG00000229280	372	0	0	0	0	0	0	0	0
PEX14	ENSG00000142655	2932	482	689	659	314	551	668	604	744
LINC01646	ENSG00000232596	3328	0	0	0	0	0	0	0	0
LINC01777	ENSG00000235054	2574	0	0	0	0	0	0	0	0
	ENSG00000232663	163	0	0	0	0	0	0	0	0
	ENSG00000284646	742	0	0	0	0	0	0	0	0
MTATP8P1	ENSG00000240409	207	1	0	2	2	1	0	1	1
MTCO2P12	ENSG00000229344	682	5	17	19	10	6	12	12	9
LINC02782	ENSG00000231510	449	0	0	0	0	0	0	0	0
PLCH2	ENSG00000149527	10809	368	339	293	127	347	244	186	536
	ENSG00000284739	464	0	0	0	0	0	0	0	0
SPSB1	ENSG00000171621	3389	62	66	55	33	78	51	56	89
	ENSG00000272235	3461	0	0	0	0	0	0	0	0
RPL23AP24	ENSG00000236679	385	0	0	0	0	0	0	0	0
	ENSG00000284694	3402	0	0	0	0	0	0	0	0
LZIC	ENSG00000162441	5459	1920	1835	2045	1280	1726	2231	1759	2428
	ENSG00000230021	5495	15	12	28	22	21	40	30	32
MZT1P1	ENSG00000271264	246	1	0	0	0	0	0	0	0
	ENSG00000287356	5794	80	79	64	50	72	82	66	103
	ENSG00000224387	455	6	4	4	2	6	7	5	2
	ENSG00000285629	663	0	0	0	0	0	0	0	0
HES3	ENSG00000173673	710	0	0	0	0	0	0	1	0
TP73-AS1	ENSG00000227372	9701	1773	1939	3006	1830	1955	3379	2613	2759
SLC2A5	ENSG00000142583	6632	0	0	1	0	0	0	0	2
NDUFB4P8	ENSG00000223663	367	0	2	5	2	2	7	2	3
LINC02781	ENSG00000284674	1580	0	0	0	0	0	0	0	0
	ENSG00000272161	493	3	1	4	5	2	2	2	1
	ENSG00000237094	6204	5	7	25	10	6	16	7	15
MTCYBP45	ENSG00000224338	565	0	0	0	0	0	0	0	0
ENO1	ENSG00000074800	5216	28124	37723	34333	19703	30046	31794	32329	39055
PLEKHM2	ENSG00000116786	4134	2231	2514	3496	1934	2199	3611	3311	3401
	ENSG00000287727	2876	7	2	5	3	4	4	5	2
B3GALT6	ENSG00000176022	2805	1773	2493	2461	1154	1997	2364	2289	2701
	ENSG00000223989	424	0	0	0	0	0	0	0	0
	ENSG00000228423	353	1	0	0	0	0	1	2	1
	ENSG00000286448	736	0	0	0	0	0	0	0	1
DHRS3	ENSG00000162496	3515	0	1	0	0	1	0	0	2
	ENSG00000237365	349	0	0	0	0	0	0	0	0
CA6	ENSG00000131686	2662	0	0	0	0	0	1	0	0
	ENSG00000229305	1075	0	0	0	0	0	0	0	0
	ENSG00000284703	4817	0	0	0	0	0	0	0	0
RPL22P3	ENSG00000226457	381	3	3	4	3	4	2	4	1
LRRC38	ENSG00000162494	2168	0	0	0	0	0	0	0	0
NMNAT1	ENSG00000173614	4610	244	250	375	209	204	386	286	295
MTATP6P1	ENSG00000248527	681	10675	7488	11577	4147	9064	7350	8112	8105
CAMTA1-AS2	ENSG00000237728	744	0	0	0	0	0	0	0	0
MFFP1	ENSG00000215720	710	1	0	3	1	1	2	0	0
PRAMEF18	ENSG00000279804	2067	0	0	0	0	0	0	0	0
	ENSG00000241326	436	0	0	0	0	0	0	0	0
	ENSG00000285701	762	2	1	4	1	0	2	0	1
PGAM1P11	ENSG00000233623	680	0	2	3	0	1	4	1	0
CCDC27	ENSG00000162592	4238	11	17	13	12	7	28	9	12
CHD5	ENSG00000116254	10094	49	51	60	31	50	59	42	81
VAMP3	ENSG00000049245	2733	2004	2294	2860	1829	2048	2967	2512	2796
FLJ37453	ENSG00000179743	2473	133	285	321	169	154	378	334	291
	ENSG00000233645	477	0	0	0	0	0	0	0	0
PRAMEF29P	ENSG00000234064	1139	0	0	0	0	0	0	0	0
DISP3	ENSG00000204624	6120	133	94	442	263	132	500	420	204
	ENSG00000284708	2094	2	1	0	0	2	0	2	0
CLSTN1	ENSG00000171603	5241	5096	5075	9181	5206	5167	9064	8382	6966
	ENSG00000280113	1983	1	0	0	0	0	0	1	1
MMEL1	ENSG00000142606	3870	32	28	55	30	25	72	49	53
	ENSG00000235146	635	0	0	0	0	0	0	0	0
SCNN1D	ENSG00000162572	4025	253	227	452	241	258	508	397	424
	ENSG00000225931	1297	0	0	0	0	0	0	1	0
	ENSG00000236601	1095	0	0	0	0	0	0	0	0
TMEM51	ENSG00000171729	2238	602	878	1147	666	691	1147	941	836
	ENSG00000228150	440	8	3	18	1	8	9	8	9
C1ORF127	ENSG00000175262	3573	5	7	1	0	3	0	0	4
WASH9P	ENSG00000279457	1397	159	238	293	184	206	367	220	350
TTLL10	ENSG00000162571	3998	0	1	0	0	0	0	0	0
	ENSG00000231181	559	16	7	24	17	5	16	13	17
RPL39P6	ENSG00000238173	150	0	0	0	0	0	0	0	0
