gene_symbol	Ensembl_ID	length	R20240001_01_EKRN240009369-1A_22375FLT4_L6	R20240001_03_EKRN240009371-1A_22375FLT4_L6	R20240001_04_EKRN240009372-1A_22375FLT4_L6	R20240001_02_EKRN240009370-1A_22375FLT4_L6
TNFRSF4	ENSG00000186827	1722	0	0	0	0
TNFRSF18	ENSG00000186891	1271	0	0	0	0
ATAD3B	ENSG00000160072	7686	887	113	657	1049
	ENSG00000260179	1558	7	0	3	13
	ENSG00000234396	326	0	0	0	0
MTND1P23	ENSG00000225972	372	5	0	3	14
RPL7P7	ENSG00000224315	703	0	0	0	0
MTCO3P12	ENSG00000198744	547	10	1	4	15
DDX11L17	ENSG00000279928	570	3	0	5	4
	ENSG00000228037	626	1	8	3	2
PRDM16	ENSG00000142611	9767	0	0	0	0
MTND2P28	ENSG00000225630	1044	282	743	329	476
ACAP3	ENSG00000131584	8707	1837	209	1498	2252
TP73-AS3	ENSG00000227589	754	0	0	3	0
CAMTA1-IT1	ENSG00000237402	365	0	0	2	0
	ENSG00000284616	1225	0	0	0	0
PUSL1	ENSG00000169972	2459	256	32	239	287
PEX10	ENSG00000157911	3782	251	13	252	286
	ENSG00000269896	2407	54	18	46	64
MTCO1P12	ENSG00000237973	1543	846	905	582	1366
CPTP	ENSG00000224051	2555	179	29	205	243
	ENSG00000228463	8224	50	65	25	30
	ENSG00000260972	1697	0	0	0	0
SKI	ENSG00000157933	6550	1451	595	1531	1777
MEGF6	ENSG00000162591	9021	11	18	7	6
	ENSG00000224340	337	0	0	0	0
	ENSG00000270035	570	2	0	2	4
TAS1R3	ENSG00000169962	3475	3	0	8	10
	ENSG00000226545	415	0	0	0	0
CICP7	ENSG00000233653	2477	0	0	0	1
WBP1LP6	ENSG00000268663	424	0	0	0	0
LINC01345	ENSG00000226374	2168	0	0	0	0
ERRFI1	ENSG00000116285	4179	288	321	314	343
EEF1DP6	ENSG00000229280	372	0	0	0	0
PEX14	ENSG00000142655	2932	341	90	356	432
LINC01646	ENSG00000232596	3328	0	0	0	0
LINC01777	ENSG00000235054	2574	0	0	0	0
	ENSG00000232663	163	0	0	0	0
	ENSG00000284646	742	0	0	3	0
MTATP8P1	ENSG00000240409	207	0	0	0	6
MTCO2P12	ENSG00000229344	682	9	1	14	8
LINC02782	ENSG00000231510	449	0	0	0	0
PLCH2	ENSG00000149527	10809	526	94	586	671
	ENSG00000284739	464	0	0	0	0
SPSB1	ENSG00000171621	3389	158	26	159	173
	ENSG00000272235	3461	0	0	0	0
RPL23AP24	ENSG00000236679	385	0	0	0	0
	ENSG00000284694	3402	0	0	0	0
LZIC	ENSG00000162441	5459	1041	1273	900	1082
	ENSG00000230021	5495	9	7	15	21
MZT1P1	ENSG00000271264	246	0	0	1	0
	ENSG00000287356	5794	75	0	63	90
	ENSG00000224387	455	5	0	2	2
	ENSG00000285629	663	0	0	0	0
HES3	ENSG00000173673	710	0	0	0	2
TP73-AS1	ENSG00000227372	9701	985	458	1011	1266
SLC2A5	ENSG00000142583	6632	0	0	0	0
NDUFB4P8	ENSG00000223663	367	0	0	0	0
LINC02781	ENSG00000284674	1580	0	0	0	0
	ENSG00000272161	493	3	0	0	2
	ENSG00000237094	6204	8	0	6	4
MTCYBP45	ENSG00000224338	565	0	0	0	0
ENO1	ENSG00000074800	5216	34695	8112	32000	41735
PLEKHM2	ENSG00000116786	4134	993	190	983	1198
	ENSG00000287727	2876	0	0	2	3
B3GALT6	ENSG00000176022	2805	837	241	878	1133
	ENSG00000223989	424	0	0	0	0
	ENSG00000228423	353	0	0	0	0
	ENSG00000286448	736	0	0	0	0
DHRS3	ENSG00000162496	3515	0	0	8	0
	ENSG00000237365	349	0	0	0	0
CA6	ENSG00000131686	2662	0	0	0	0
	ENSG00000229305	1075	0	0	0	0
	ENSG00000284703	4817	0	0	0	0
RPL22P3	ENSG00000226457	381	4	0	1	1
LRRC38	ENSG00000162494	2168	0	0	0	0
NMNAT1	ENSG00000173614	4610	67	26	44	48
MTATP6P1	ENSG00000248527	681	4591	4076	3644	7903
CAMTA1-AS2	ENSG00000237728	744	0	0	0	0
MFFP1	ENSG00000215720	710	0	0	0	0
PRAMEF18	ENSG00000279804	2067	0	0	0	0
	ENSG00000241326	436	0	0	0	0
	ENSG00000285701	762	0	0	1	1
PGAM1P11	ENSG00000233623	680	0	0	0	0
CCDC27	ENSG00000162592	4238	0	0	0	2
CHD5	ENSG00000116254	10094	255	42	251	298
VAMP3	ENSG00000049245	2733	747	621	720	869
FLJ37453	ENSG00000179743	2473	132	46	207	209
	ENSG00000233645	477	0	0	0	0
PRAMEF29P	ENSG00000234064	1139	0	0	0	0
DISP3	ENSG00000204624	6120	915	105	810	1136
	ENSG00000284708	2094	0	0	0	1
CLSTN1	ENSG00000171603	5241	3058	861	3377	3612
	ENSG00000280113	1983	0	0	0	0
MMEL1	ENSG00000142606	3870	0	0	0	2
	ENSG00000235146	635	0	0	0	0
SCNN1D	ENSG00000162572	4025	67	0	49	71
	ENSG00000225931	1297	1	0	0	0
	ENSG00000236601	1095	0	0	0	0
TMEM51	ENSG00000171729	2238	191	64	178	223
	ENSG00000228150	440	5	8	2	10
C1ORF127	ENSG00000175262	3573	5	11	17	5
WASH9P	ENSG00000279457	1397	74	0	39	88
TTLL10	ENSG00000162571	3998	0	0	0	0
	ENSG00000231181	559	4	0	4	5
RPL39P6	ENSG00000238173	150	0	0	0	0
TPRG1L	ENSG00000158109	2401	263	123	240	312
	ENSG00000229393	514	5	0	1	2
	ENSG00000269978	267	3	0	6	6
FBXO42	ENSG00000037637	9009	663	361	554	773
C1QTNF12	ENSG00000184163	1794	11	0	9	16
	ENSG00000287586	3225	0	0	0	0
ALDH4A1	ENSG00000159423	3632	336	12	322	463
RERE	ENSG00000142599	14112	2144	1165	2491	2787
	ENSG00000227169	356	0	0	0	0
	ENSG00000283356	135	0	0	0	0
CLCN6	ENSG00000011021	8173	720	408	815	947
	ENSG00000272482	345	0	0	0	0
	ENSG00000284747	4116	7	0	4	5
TTC34	ENSG00000215912	8814	20	0	22	26
PRAMEF2	ENSG00000120952	1642	0	0	0	0
PRAMEF4	ENSG00000243073	1840	0	0	0	0
CELA2A	ENSG00000142615	1519	0	0	0	1
CELA2B	ENSG00000215704	1449	1	0	2	0
SPEN	ENSG00000065526	14336	3684	2994	3636	4177
RER1	ENSG00000157916	5689	1197	545	1025	1281
PANK4	ENSG00000157881	5072	618	106	512	701
WRAP73	ENSG00000116213	7634	504	138	506	742
TMEM274P	ENSG00000283611	444	0	0	0	0
	ENSG00000238290	2044	0	0	0	0
	ENSG00000225387	491	0	0	0	0
VPS13D	ENSG00000048707	20768	623	488	679	717
HTR6	ENSG00000158748	3800	13	0	33	22
LINC01647	ENSG00000235643	1351	42	10	42	28
RPL10P17	ENSG00000225196	316	0	0	0	0
ARHGEF16	ENSG00000130762	5324	0	0	0	0
RBP7	ENSG00000162444	862	1	0	0	3
PRAMEF13	ENSG00000279169	2442	0	0	0	0
	ENSG00000279625	1853	1	2	7	2
GPR157	ENSG00000180758	5304	58	25	63	76
PRAMEF32P	ENSG00000231219	1068	0	0	0	0
ZBTB40	ENSG00000184677	9169	2016	1087	1585	2179
ENO1-AS1	ENSG00000230679	456	3	11	5	0
MICOS10-NBL1	ENSG00000270136	1276	0	0	0	0
FBXO44	ENSG00000132879	3527	206	69	229	279
PRAMEF10	ENSG00000187545	1525	0	0	0	0
	ENSG00000288398	2662	61	28	64	70
	ENSG00000224621	544	0	0	0	1
PRAMEF11	ENSG00000239810	1845	0	0	0	0
	ENSG00000285833	1051	2	0	3	0
PRAMEF1	ENSG00000116721	2439	0	0	0	0
CFL1P6	ENSG00000215785	494	0	0	0	0
NPHP4	ENSG00000131697	13167	367	138	332	422
	ENSG00000284692	2316	0	0	0	1
	ENSG00000284745	1654	0	0	0	0
	ENSG00000225952	480	0	0	0	0
	ENSG00000280222	6473	0	0	0	0
TMEM201	ENSG00000188807	6981	941	147	858	1047
LINC01714	ENSG00000227634	1001	0	0	0	0
MTOR	ENSG00000198793	12163	2963	1714	2703	3132
TP73	ENSG00000078900	6767	456	39	400	540
	ENSG00000285945	593	0	0	0	0
ANGPTL7	ENSG00000171819	2224	1	0	0	2
RUNX3-AS1	ENSG00000229162	820	0	0	0	0
HES5	ENSG00000197921	1324	0	0	0	0
	ENSG00000233755	863	0	0	0	0
PARK7	ENSG00000116288	2397	3339	2544	3284	3979
TNFRSF14-AS1	ENSG00000238164	6137	0	0	1	0
MT1XP1	ENSG00000233929	186	4	0	3	0
	ENSG00000271742	256	0	0	0	1
	ENSG00000226396	455	37	176	67	97
PRAMEF6	ENSG00000232423	1784	0	0	0	0
	ENSG00000229247	238	0	0	0	0
CLIC4	ENSG00000169504	4467	6126	10569	8694	7447
	ENSG00000224311	379	0	0	0	0
NPM1P39	ENSG00000225159	867	63	287	49	100
	ENSG00000272088	382	0	0	0	0
LINC01784	ENSG00000228338	378	0	0	0	0
GPR3	ENSG00000181773	2137	223	34	154	219
ACTG1P20	ENSG00000241547	468	37	0	26	28
DPPA2P2	ENSG00000224129	897	0	0	0	0
ARHGEF19-AS1	ENSG00000234166	439	0	0	0	0
CAMTA1-DT	ENSG00000237436	415	9	0	10	21
UQCRHL	ENSG00000233954	2180	135	96	166	268
CD164L2	ENSG00000174950	1994	0	0	0	0
DYNLL1P3	ENSG00000235282	266	0	0	0	0
SZRD1	ENSG00000055070	4742	1744	627	1637	2072
PDIK1L	ENSG00000175087	4560	578	1259	540	596
CAMTA1	ENSG00000171735	9903	936	1139	943	1141
NECAP2	ENSG00000157191	5510	453	224	348	560
	ENSG00000284699	886	0	0	0	0
	ENSG00000229985	527	0	0	0	0
IGSF21-AS1	ENSG00000230035	430	0	0	0	0
	ENSG00000235185	207	0	0	0	0
ZNF593OS	ENSG00000236782	2073	15	0	6	17
FBXO6	ENSG00000116663	1735	17	0	6	16
	ENSG00000225643	483	4	0	0	1
	ENSG00000284666	609	0	0	0	0
	ENSG00000243659	282	5	0	9	10
	ENSG00000228943	235	0	0	0	0
	ENSG00000232848	800	0	0	1	1
PPIAP34	ENSG00000234397	492	0	0	0	0
	ENSG00000284309	941	0	0	0	0
	ENSG00000269925	393	24	12	13	25
LAPTM5	ENSG00000162511	3228	6	0	3	4
SLC30A2	ENSG00000158014	3483	0	0	0	0
PHACTR4	ENSG00000204138	7317	2962	2300	2666	3149
IFITM3P7	ENSG00000233419	402	0	0	0	0
	ENSG00000235263	708	0	0	0	0
	ENSG00000228176	498	0	0	0	0
	ENSG00000231251	93	0	0	0	0
CNKSR1	ENSG00000142675	3960	31	2	41	57
FAM110D	ENSG00000197245	2799	6	10	4	7
	ENSG00000231949	481	0	0	0	0
	ENSG00000261025	2443	0	0	0	0
ICMT	ENSG00000116237	4910	1958	875	1642	2168
WASF2	ENSG00000158195	5681	3744	1292	4074	4525
MED18	ENSG00000130772	2017	536	92	514	642
	ENSG00000215899	1342	0	0	0	0
	ENSG00000237429	283	0	0	0	0
	ENSG00000271398	425	0	0	0	3
	ENSG00000225011	349	0	0	0	0
	ENSG00000240731	386	72	0	42	65
	ENSG00000235069	235	0	0	0	0
	ENSG00000284676	1953	0	0	0	0
MMEL1-AS1	ENSG00000237058	373	0	0	0	0
LINC01648	ENSG00000233399	1519	0	0	0	0
SLC9A1	ENSG00000090020	6195	987	190	833	1110
SNRPEP7	ENSG00000225990	220	0	0	0	0
LDLRAP1	ENSG00000157978	5371	242	28	155	250
RNF207-AS1	ENSG00000226944	378	13	0	20	22
	ENSG00000270282	369	0	0	0	1
ATP5IF1	ENSG00000130770	2225	1687	1636	1718	2080
TP73-AS2	ENSG00000235131	351	0	0	0	0
	ENSG00000229044	439	0	0	0	0
SDC3	ENSG00000162512	7065	385	133	424	497
PIK3CD-AS1	ENSG00000179840	1823	0	0	0	0
	ENSG00000272449	1531	15	0	20	24
CHCHD3P3	ENSG00000214973	640	1	15	2	5
PAFAH2	ENSG00000158006	3795	125	35	142	142
	ENSG00000214812	557	0	5	1	0
WDTC1	ENSG00000142784	5911	2103	464	2243	2655
	ENSG00000227950	286	0	0	0	0
DNAJC8	ENSG00000126698	2892	4735	5002	4419	5614
	ENSG00000229447	437	6	17	4	13
	ENSG00000229607	444	0	0	0	0
RPL5P4	ENSG00000229994	886	93	329	79	116
SESN2	ENSG00000130766	3462	337	299	2307	1014
SERINC2	ENSG00000168528	3452	893	153	1211	1363
AJAP1	ENSG00000196581	12528	0	0	0	0
PTAFR	ENSG00000169403	4208	29	65	31	20
RPS6KA1	ENSG00000117676	5884	567	201	555	781
CAMTA1-AS1	ENSG00000225126	361	0	0	0	0
NKAIN1	ENSG00000084628	3320	3707	577	3182	4353
SNRNP40	ENSG00000060688	3887	2586	1511	2144	2891
	ENSG00000236335	507	0	0	0	0
SLC25A33	ENSG00000171612	3865	693	573	578	811
	ENSG00000241169	428	0	0	0	0
NBPF2P	ENSG00000227001	661	14	38	11	8
	ENSG00000270927	493	0	0	0	0
FBLIM1	ENSG00000162458	4351	149	23	213	192
GJB3	ENSG00000188910	2362	0	0	3	0
LINC01756	ENSG00000230523	2148	1	0	0	0
MATN1-AS1	ENSG00000186056	4024	0	0	0	0
DNAJC16	ENSG00000116138	8563	273	228	287	351
	ENSG00000231207	355	0	0	0	0
SYTL1	ENSG00000142765	5584	51	20	44	60
EYA3	ENSG00000158161	6424	1744	1060	1507	1946
	ENSG00000270330	355	0	0	0	0
ZNF593	ENSG00000142684	732	0	0	0	0
RPL7P11	ENSG00000234619	658	0	0	0	0
FABP3	ENSG00000121769	1398	55	18	32	60
C1ORF158	ENSG00000157330	4133	0	0	0	0
EPHA2	ENSG00000142627	4141	320	52	343	407
LINC02780	ENSG00000284668	1835	0	0	0	0
	ENSG00000233234	607	0	0	0	0
ARHGEF19	ENSG00000142632	3788	190	8	160	232
KAZN-AS1	ENSG00000234593	2858	0	0	1	0
DRAXIN	ENSG00000162490	7365	2710	705	1428	2444
GPR153	ENSG00000158292	4198	256	29	312	319
	ENSG00000270605	1945	64	54	80	105
UBE2V2P3	ENSG00000238199	437	1	6	2	1
MAP3K6	ENSG00000142733	5746	397	62	291	410
KAZN	ENSG00000189337	13860	405	185	326	493
PRAMEF5	ENSG00000270601	1720	0	0	0	0
	ENSG00000233268	421	0	0	0	0
RERE-AS1	ENSG00000232912	1178	0	0	0	1
CHCHD2P6	ENSG00000235084	447	6	8	26	24
	ENSG00000235143	1747	0	0	0	0
	ENSG00000225478	223	0	0	0	0
LINC00337	ENSG00000225077	2358	14	0	8	9
TNFRSF1B	ENSG00000028137	3778	0	0	0	0
